"Forwards (10 - $32,469,167)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Terry, Troy",6 UFA,,RW,NHL,Draft,26,8,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 "
"Killorn, Alex",3 UFA,NTC,"RW, LW",NHL,Signed,34,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ",UFA,,
"Zegras, Trevor",2 RFA,,"C, LW",NHL,Draft,23,6.5,"$5,750,000 ","$5,750,000 ",RFA,,,
"Strome, Ryan",3 UFA,,"RW, C",NHL,Signed,30,5.7,"$5,000,000 ","$5,000,000 ","$5,000,000 ",UFA,,
"Vatrano, Frank",1 UFA,,"LW, RW",NHL,Signed,30,4.1,"$3,650,000 ",UFA,,,,
"Johnston, Ross",2 UFA,,LW,NHL,Waivers claim,30,1.3,"$1,100,000 ","$1,100,000 ",UFA,,,
"Carlsson, Leo",2 RFA,ELC,C,NHL,Draft,19,1.1,"$950,000 ","$950,000 ",RFA,,,
"Gauthier, Cutter",2 10.2(c),ELC,"LW, C",NHL,Trade,20,1.1,"$950,000 ","$950,000 ",10.2(c),,,
"Colangelo, Sam",1 10.2(c),ELC,RW,NHL,Draft,22,1.1,"$925,000 ",10.2(c),,,,
"McTavish, Mason",1 RFA,ELC,"C, LW",NHL,Draft,21,1,"$894,167 ",RFA,,,,
"Groulx, Benoit-Olivier",0 RFA,,C,NHL,Draft,24,,RFA,,,,,
"Jones, Max",0 RFA,,"LW, RW",NHL,Draft,26,,RFA,,,,,
"Leason, Brett",0 RFA,,RW,NHL,Waivers claim,25,,RFA,,,,,
"Lundeström, Isac",0 RFA,,"C, LW",NHL,Draft,24,,RFA,,,,,
"Meyers, Ben",0 UFA,,"LW, C",NHL,Trade,25,,UFA G6,,,,,
TOTAL,,,,,,25.3,36.9,"$32,469,167 ","$27,000,000 ","$18,250,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 "
