,Forwards (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Myatovic, Nico",3 RFA,ELC,LW,Minor,Draft,19.0,-,"$896,667","$896,667","$896,667",RFA,,
1,"Gaucher, Nathan",3 RFA,ELC,C,Minor,Draft,20.0,-,"$886,667","$886,667","$886,667",RFA,,
2,"Lopina, Joshua",1 RFA,ELC,C,Minor,Draft,23.0,-,"$878,333",RFA,,,,
3,"Sidorov, Yegor",3 RFA,ELC,"RW, LW",Minor,Draft,20.0,-,"$865,000","$865,000","$865,000",RFA,,
4,"Pitre, Coulson",3 RFA,ELC,RW,Minor,Draft,19.0,-,"$860,000","$860,000","$860,000",RFA,,
5,"Wiebe, Jaxsen",2 RFA,ELC,"RW, C",Minor,Signed,22.0,-,"$852,500","$852,500",RFA,,,
6,"Caulfield, Judd",1 RFA,ELC,RW,Minor,Trade,23.0,-,"$837,500",RFA,,,,
7,"Mysak, Jan",1 RFA,ELC,"C, LW",Minor,Trade,22.0,-,"$828,333",RFA,,,,
8,"Pastujov, Sasha",2 RFA,ELC,"LW, RW",Minor,Draft,20.0,-,"$825,000","$825,000",RFA,,,
9,"McLaughlin, Blake",0 RFA,,LW,Minor,Draft,24.0,-,RFA,,,,,
10,"Nesterenko, Nikita",0 RFA,,C,Minor,Trade,22.0,-,RFA,,,,,
11,"Regenda, Pavol",0 RFA,,"LW, RW",Minor,Signed,24.0,-,RFA,,,,,
12,"Tracey, Brayden",0 RFA,,LW,Minor,Draft,23.0,-,RFA,,,,,
13,"Agozzino, Andrew",0 UFA,,"C, LW",Minor,Trade,33.0,-,UFA,,,,,
14,"De Leo, Chase",0 UFA,,"C, LW, RW",Minor,Signed,28.0,-,UFA,,,,,
15,"Gawdin, Glenn",0 UFA,,"C, RW",Minor,Signed,27.0,-,UFA,,,,,
16,TOTAL,,,,,,23.1,-,"$7,730,000","$5,185,834","$3,508,334",,,
