,#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
0,1,"Robertson, Jason","LW, RW",22,ELC,RFA,"$795,000 ",74,220,41,38,79,18:06,"$3,613 ","$19,390 ","$20,921 ","$10,063 ",$593 
1,2,"Fox, Adam",RD,23,ELC,RFA,"$925,000 ",78,158,11,63,74,23:54,"$5,854 ","$84,090 ","$14,682 ","$12,500 ",$496 
2,3,"Suzuki, Nick",C,22,ELC,RFA,"$863,333 ",82,186,21,40,61,20:30,"$4,641 ","$41,111 ","$21,583 ","$14,153 ",$513 
3,4,"Bunting, Michael",LW,26,Stnd,UFA,"$950,000 ",79,175,23,40,63,15:32,"$5,428 ","$41,304 ","$23,750 ","$15,079 ",$774 
4,5,"Zegras, Trevor","C, LW",20,ELC,RFA,"$925,000 ",75,181,23,38,61,17:54,"$5,110 ","$40,217 ","$24,342 ","$15,163 ",$689 
5,6,"Stützle, Tim",C,19,ELC,RFA,"$925,000 ",79,176,22,36,58,18:24,"$5,255 ","$42,045 ","$25,694 ","$15,948 ",$636 
6,7,"Raymond, Lucas","RW, LW",19,ELC,RFA,"$925,000 ",82,184,23,34,57,18:09,"$5,027 ","$40,217 ","$27,205 ","$16,228 ",$621 
7,8,"Hughes, Jack",C,20,ELC,RFA,"$925,000 ",49,165,26,30,56,19:33,"$5,606 ","$35,576 ","$30,833 ","$16,517 ",$965 
8,9,"Norris, Joshua",C,22,ELC,RFA,"$925,000 ",66,172,35,20,55,18:34,"$5,377 ","$26,428 ","$46,250 ","$16,818 ",$754 
9,10,"Marchment, Mason","LW, RW",26,Stnd,UFA,"$800,000 ",54,121,18,29,47,14:07,"$6,611 ","$44,444 ","$27,586 ","$17,021 ","$1,049 "
10,11,"Seider, Moritz",RD,20,ELC,RFA,"$863,333 ",82,187,7,43,50,23:02,"$4,616 ","$123,333 ","$20,077 ","$17,266 ",$457 
11,12,"Dobson, Noah",RD,21,ELC,RFA,"$894,167 ",80,190,13,38,51,21:27,"$4,706 ","$68,782 ","$23,530 ","$17,532 ",$521 
12,13,"Verhaeghe, Carter",LW,26,Stnd,RFA,"$1,000,000 ",78,167,24,31,55,16:03,"$5,988 ","$41,666 ","$32,258 ","$18,181 ",$798 
13,14,"Roy, Nicolas","C, RW",24,Stnd,RFA,"$750,000 ",78,145,15,24,39,16:15,"$5,172 ","$50,000 ","$31,250 ","$19,230 ",$591 
14,15,"Jeannot, Tanner","RW, LW",24,Stnd,RFA,"$800,000 ",81,124,24,17,41,15:59,"$6,451 ","$33,333 ","$47,058 ","$19,512 ",$617 
15,16,"Deangelo, Anthony",RD,26,Stnd,RFA,"$1,000,000 ",64,151,10,41,51,19:48,"$6,622 ","$100,000 ","$24,390 ","$19,607 ",$789 
16,17,"Bouchard, Evan",RD,22,ELC,RFA,"$863,333 ",81,205,12,31,43,19:48,"$4,211 ","$71,944 ","$27,849 ","$20,077 ",$538 
17,18,"Caufield, Cole","LW, RW",20,ELC,RFA,"$880,833 ",67,188,23,20,43,16:40,"$4,685 ","$38,297 ","$44,041 ","$20,484 ",$788 
18,19,"Thompson, Tage",C,24,Stnd,RFA,"$1,400,000 ",78,253,38,30,68,17:52,"$5,533 ","$36,842 ","$46,666 ","$20,588 ","$1,004 "
19,20,"Lundell, Anton","C, LW",20,ELC,RFA,"$925,000 ",65,125,18,26,44,15:44,"$7,400 ","$51,388 ","$35,576 ","$21,022 ",$904 
20,21,"Mercer, Dawson","RW, C",20,ELC,RFA,"$894,167 ",82,154,17,25,42,16:32,"$5,806 ","$52,598 ","$35,766 ","$21,289 ",$659 
21,22,"Boyd, Travis","C, RW",28,Stnd,UFA,"$750,000 ",74,88,17,18,35,16:30,"$8,522 ","$44,117 ","$41,666 ","$21,428 ",$614 
22,23,"Parise, Zach",LW,37,35+,UFA,"$750,000 ",82,138,15,20,35,15:17,"$5,434 ","$50,000 ","$37,500 ","$21,428 ",$598 
23,24,"Necas, Martin",RW,22,ELC,RFA,"$863,333 ",78,159,14,26,40,16:11,"$5,429 ","$61,666 ","$33,205 ","$21,583 ",$683 
24,25,"Terry, Troy",RW,24,Stnd,RFA,"$1,450,000 ",75,192,37,30,67,18:14,"$7,552 ","$39,189 ","$48,333 ","$21,641 ","$1,060 "
25,26,"Jarvis, Seth",RW,19,ELC,RFA,"$894,167 ",68,110,17,23,40,13:52,"$8,128 ","$52,598 ","$38,876 ","$22,354 ",$948 
26,27,"Boldy, Matthew","RW, LW",20,ELC,RFA,"$880,833 ",47,113,15,24,39,15:23,"$7,794 ","$58,722 ","$36,701 ","$22,585 ","$1,218 "
27,28,"Rodrigues, Evan","LW, C",28,Stnd,UFA,"$1,000,000 ",82,243,19,24,43,15:50,"$4,115 ","$52,631 ","$41,666 ","$23,255 ",$770 
28,29,"Formenton, Alex",LW,22,ELC,RFA,"$747,500 ",79,162,18,14,32,15:27,"$4,614 ","$41,527 ","$53,392 ","$23,359 ",$612 
29,30,"Cozens, Dylan","C, LW",20,ELC,RFA,"$894,167 ",79,160,13,25,38,15:53,"$5,588 ","$68,782 ","$35,766 ","$23,530 ",$712 
30,31,"Kylington, Oliver",LD/RD,24,Stnd,RFA,"$750,000 ",73,138,9,22,31,18:09,"$5,434 ","$83,333 ","$34,090 ","$24,193 ",$566 
31,32,"Donato, Ryan","LW, C, RW",25,Stnd,UFA,"$750,000 ",74,159,16,15,31,13:47,"$4,716 ","$46,875 ","$49,999 ","$24,193 ",$735 
32,33,"Carrier, Alexandre",RD,25,Stnd,RFA,"$733,333 ",77,95,3,27,30,20:58,"$7,719 ","$244,444 ","$27,160 ","$24,444 ",$454 
33,34,"Joseph, Mathieu","LW, RW",24,Stnd,RFA,"$737,500 ",69,86,12,18,30,14:11,"$8,575 ","$61,458 ","$40,972 ","$24,583 ",$753 
34,35,"Pitlick, Rem","LW, RW",24,Stnd,UFA,"$917,831 ",66,65,15,22,37,14:59,"$14,120 ","$61,188 ","$41,719 ","$24,806 ",$928 
35,36,"Perry, Corey",RW,36,35+,UFA,"$1,000,000 ",82,153,19,21,40,13:31,"$6,535 ","$52,631 ","$47,619 ","$25,000 ",$902 
36,37,"Barabanov, Alexander","RW, LW",27,Stnd,UFA,"$1,000,000 ",70,103,10,29,39,17:10,"$9,708 ","$100,000 ","$34,482 ","$25,641 ",$832 
37,38,"Evans, Jake",C,25,Stnd,RFA,"$750,000 ",72,124,13,16,29,15:35,"$6,048 ","$57,692 ","$46,875 ","$25,862 ",$668 
38,39,"Hartman, Ryan","C, RW",27,Stnd,UFA,"$1,700,000 ",82,239,34,31,65,18:10,"$7,112 ","$50,000 ","$54,838 ","$26,153 ","$1,141 "
39,40,"Tomasino, Philip","LW, RW",20,ELC,RFA,"$863,333 ",76,111,11,21,32,11:32,"$7,777 ","$78,484 ","$41,111 ","$26,979 ",$984 
40,41,"Farabee, Joel","LW, RW",21,ELC,RFA,"$925,000 ",63,119,17,17,34,17:35,"$7,773 ","$54,411 ","$54,411 ","$27,205 ",$835 
