,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"Blackwood, Mackenzie",23,ELC,RFA,"$697,500 ",47,2684,1452,1328,0.915,2.77,"$14,840 ",$259 ,$525 
1,2,"Hart, Carter",21,ELC,RFA,"$730,833 ",43,2355,1100,1005,0.914,2.42,"$16,996 ",$310 ,$727 
2,3,"Jarry, Tristan",24,Stnd,RFA,"$675,000 ",33,1926,985,907,0.921,2.43,"$20,454 ",$350 ,$744 
3,4,"Stalock, Alex",32,Stnd,UFA,"$785,000 ",38,2177,1082,985,0.91,2.67,"$20,657 ",$360 ,$796 
4,5,"Georgiev, Alexandar",23,ELC,RFA,"$792,500 ",34,1891,1063,967,0.91,3.05,"$23,308 ",$419 ,$819 
5,6,"Campbell, Jack",27,Stnd,UFA,"$675,000 ",26,1566,761,688,0.904,2.8,"$25,961 ",$431 ,$981 
6,7,"Merzlikins, Elvis",25,Stnd,RFA,"$874,125 ",33,1815,919,848,0.923,2.35,"$26,488 ",$481 ,"$1,030 "
7,8,"Francouz, Pavel",29,Stnd,UFA,"$950,000 ",34,1914,996,919,0.923,2.41,"$27,941 ",$496 ,"$1,033 "
8,9,"Högberg, Marcus",25,Stnd,UFA,"$700,000 ",24,1344,728,658,0.904,3.13,"$29,166 ",$520 ,"$1,063 "
9,10,"Korpisalo, Joonas",25,Stnd,RFA,"$1,150,000 ",37,2125,1030,938,0.911,2.6,"$31,081 ",$541 ,"$1,226 "
10,11,"Ullmark, Linus",26,Stnd,RFA,"$1,325,000 ",34,2026,1066,975,0.915,2.7,"$38,970 ",$653 ,"$1,358 "
11,12,"Demko, Thatcher",24,Stnd,RFA,"$1,050,000 ",27,1529,822,744,0.905,3.06,"$38,888 ",$686 ,"$1,411 "
12,13,"Saros, Juuse",24,Stnd,RFA,"$1,500,000 ",40,2176,1142,1044,0.914,2.7,"$37,500 ",$689 ,"$1,436 "
13,14,"Samsonov, Ilya",22,ELC,RFA,"$925,000 ",26,1411,689,629,0.913,2.55,"$35,576 ",$655 ,"$1,470 "
14,15,"Subban, Malcolm",26,Stnd,UFA,"$850,000 ",21,1134,546,486,0.89,3.17,"$40,476 ",$749 ,"$1,748 "
15,16,"Hutchinson, Michael",29,Stnd,UFA,"$700,000 ",16,847,439,390,0.888,3.47,"$43,750 ",$826 ,"$1,794 "
16,17,"Miller, Ryan",39,35+,UFA,"$1,125,000 ",23,1238,685,621,0.907,3.1,"$48,913 ",$908 ,"$1,811 "
17,18,"Smith, Mike",37,35+,UFA,"$2,000,000 ",39,2156,1087,981,0.903,2.95,"$51,282 ",$927 ,"$2,038 "
18,19,"Rittich, David",27,Stnd,UFA,"$2,750,000 ",48,2791,1478,1340,0.907,2.97,"$57,291 ",$985 ,"$2,052 "
19,20,"Dell, Aaron",30,Stnd,UFA,"$1,900,000 ",33,1834,986,894,0.907,3.01,"$57,575 ","$1,035 ","$2,125 "
20,21,"Kuemper, Darcy",29,Stnd,UFA,"$1,850,000 ",29,1753,903,838,0.928,2.22,"$63,793 ","$1,055 ","$2,207 "
21,22,"Montembeault, Samuel",23,Stnd,RFA,"$708,750 ",14,700,356,317,0.89,3.34,"$50,625 ","$1,012 ","$2,235 "
22,23,"Hill, Adin",23,Stnd,RFA,"$708,750 ",13,640,343,315,0.918,2.63,"$54,519 ","$1,107 ","$2,250 "
23,24,"Shesterkin, Igor",24,ELC,RFA,"$925,000 ",12,691,424,395,0.932,2.52,"$77,083 ","$1,338 ","$2,341 "
24,25,"Vasilevskiy, Andrei",25,Stnd,RFA,"$3,500,000 ",52,3121,1605,1472,0.917,2.56,"$67,307 ","$1,121 ","$2,377 "
25,26,"Bernier, Jonathan",31,Stnd,UFA,"$3,000,000 ",46,2565,1353,1227,0.907,2.95,"$65,217 ","$1,169 ","$2,444 "
26,27,"Driedger, Chris",25,Stnd,UFA,"$850,000 ",12,642,354,332,0.938,2.06,"$70,833 ","$1,323 ","$2,560 "
27,28,"McElhinney, Curtis",36,35+,UFA,"$1,300,000 ",18,1080,551,499,0.906,2.89,"$72,222 ","$1,203 ","$2,605 "
28,29,"Brossoit, Laurent",26,Stnd,UFA,"$1,225,000 ",19,987,512,458,0.895,3.28,"$64,473 ","$1,241 ","$2,674 "
29,30,"Elliott, Brian",34,Stnd,UFA,"$2,000,000 ",31,1673,796,716,0.9,2.87,"$64,516 ","$1,195 ","$2,793 "
30,31,"Markström, Jacob",29,Stnd,UFA,"$3,666,667 ",43,2551,1420,1303,0.918,2.75,"$85,271 ","$1,437 ","$2,814 "
31,32,"Domingue, Louis",27,Stnd,UFA,"$1,150,000 ",17,801,433,382,0.882,3.82,"$67,647 ","$1,435 ","$3,010 "
32,33,"Khudobin, Anton",33,Stnd,UFA,"$2,500,000 ",30,1677,882,820,0.93,2.22,"$83,333 ","$1,490 ","$3,048 "
33,34,"Mrázek, Petr",27,Stnd,UFA,"$3,125,000 ",40,2320,1091,987,0.905,2.69,"$78,125 ","$1,346 ","$3,166 "
34,35,"Halák, Jaroslav",34,Stnd,UFA,"$2,750,000 ",31,1833,905,832,0.919,2.39,"$88,709 ","$1,500 ","$3,305 "
35,36,"Hutton, Carter",34,Stnd,UFA,"$2,750,000 ",31,1775,918,824,0.898,3.18,"$88,709 ","$1,549 ","$3,337 "
36,37,"Binnington, Jordan",26,Stnd,UFA,"$4,400,000 ",50,2947,1430,1304,0.912,2.57,"$88,000 ","$1,493 ","$3,374 "
37,38,"Grubauer, Philipp",28,Stnd,UFA,"$3,333,333 ",36,2057,1067,977,0.916,2.63,"$92,592 ","$1,620 ","$3,411 "
38,39,"Petersen, Cal",25,Stnd,UFA,"$858,333 ",8,477,269,248,0.922,2.64,"$107,291 ","$1,799 ","$3,461 "
39,40,"Andersen, Frederik",30,Stnd,UFA,"$5,000,000 ",52,3006,1577,1434,0.909,2.85,"$96,153 ","$1,663 ","$3,486 "
40,41,"Hellebuyck, Connor",26,Stnd,UFA,"$6,166,667 ",58,3268,1796,1656,0.922,2.57,"$106,321 ","$1,886 ","$3,723 "
41,42,"Talbot, Cam",32,Stnd,UFA,"$2,750,000 ",26,1434,780,717,0.919,2.64,"$105,769 ","$1,917 ","$3,835 "
42,43,"Murray, Matt",25,Stnd,RFA,"$3,750,000 ",38,2237,1055,948,0.899,2.87,"$98,684 ","$1,676 ","$3,955 "
43,44,"Bishop, Ben",33,Stnd,UFA,"$4,916,667 ",44,2473,1286,1183,0.92,2.5,"$111,742 ","$1,988 ","$4,156 "
44,45,"Koskinen, Mikko",31,Stnd,UFA,"$4,500,000 ",38,2116,1175,1078,0.917,2.75,"$118,421 ","$2,126 ","$4,174 "
45,46,"Varlamov, Semyon",31,Stnd,UFA,"$5,000,000 ",45,2517,1278,1168,0.914,2.62,"$111,111 ","$1,986 ","$4,280 "
46,47,"Greiss, Thomas",33,Stnd,UFA,"$3,333,333 ",31,1595,838,765,0.913,2.75,"$107,526 ","$2,089 ","$4,357 "
47,48,"Lehner, Robin",28,Stnd,UFA,"$5,000,000 ",36,2055,1235,1136,0.92,2.89,"$138,888 ","$2,433 ","$4,401 "
48,49,"Raanta, Antti",30,Stnd,UFA,"$4,250,000 ",33,1822,1014,934,0.921,2.63,"$128,787 ","$2,332 ","$4,550 "
49,50,"Nilsson, Anders",29,Stnd,UFA,"$2,600,000 ",20,1093,628,570,0.908,3.18,"$130,000 ","$2,378 ","$4,561 "
50,51,"Gibson, John",26,Stnd,UFA,"$6,400,000 ",51,2981,1552,1403,0.904,3,"$125,490 ","$2,146 ","$4,561 "
51,52,"Lindgren, Charlie",26,Stnd,UFA,"$750,000 ",6,360,178,158,0.888,3.33,"$125,000 ","$2,083 ","$4,746 "
52,53,"Kähkönen, Kaapo",23,ELC,RFA,"$767,500 ",5,304,172,157,0.913,2.96,"$153,500 ","$2,524 ","$4,888 "
53,54,"Holtby, Braden",30,Stnd,UFA,"$6,100,000 ",48,2743,1385,1243,0.898,3.11,"$127,083 ","$2,223 ","$4,907 "
54,55,"Crawford, Corey",35,Stnd,UFA,"$6,000,000 ",40,2340,1294,1186,0.917,2.77,"$150,000 ","$2,564 ","$5,059 "
55,56,"Anderson, Craig",38,35+,UFA,"$4,750,000 ",34,1845,1018,918,0.902,3.25,"$139,705 ","$2,574 ","$5,174 "
