,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,0,Auston Matthews,TOR,29,"Sep. 17, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",C,Left,1 - Round 1 - 2016 (TOR),,,,TOR,Standard (1-way),Yes,"Aug. 23, 2023",26,,,NMC,4,UFA,UFA,2028,"$13,250,000 ",15.90%,"$13,250,000 ","$10,020,000 ","$900,000 ","$10,020,000 ","$9,120,000 ",$0 
1,1,Nathan MacKinnon,COL,31,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,COL,Standard (1-way),Yes,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000 ",15.30%,"$12,600,000 ","$9,900,000 ","$990,000 ","$9,900,000 ","$8,910,000 ",$0 
2,2,William Nylander,TOR,31,1-May-96,Canada,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,8 - Round 1 - 2014 (TOR),,,,TOR,Standard (1-way),Yes,"Jan. 8, 2024",28,,,NMC,8,UFA,UFA,2032,"$11,500,000 ",13.80%,"$11,500,000 ","$11,500,000 ","$1,000,000 ","$11,500,000 ","$10,500,000 ",$0 
3,3,David Pastrnak,BOS,31,25-May-96,Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,BOS,Standard (1-way),Yes,"Mar. 2, 2023",27,,,NMC,8,UFA,UFA,2031,"$11,250,000 ",13.60%,"$11,250,000 ","$11,250,000 ","$8,250,000 ","$11,250,000 ","$3,000,000 ",$0 
4,4,Jonathan Huberdeau,CGY,34,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,CGY,Standard (1-way),Yes,"Aug. 4, 2022",30,,,NMC,8,UFA,UFA,2031,"$10,500,000 ",12.70%,"$10,500,000 ","$10,500,000 ","$1,000,000 ","$10,500,000 ","$9,500,000 ",$0 
5,5,Aleksander Barkov,FLA,31,"Sep. 2, 1995",Finland,210 lbs - 95 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2013 (FLA),,,,FLA,Standard (1-way),Yes,"Oct. 8, 2021",26,,,NMC,8,UFA,UFA,2030,"$10,000,000 ",12.30%,"$10,000,000 ","$8,000,000 ","$1,000,000 ","$8,000,000 ","$7,000,000 ",$0 
6,6,Sebastian Aho,CAR,29,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,CAR,Standard (1-way),Yes,"Jul. 26, 2023",26,,,NMC,8,UFA,UFA,2032,"$9,750,000 ",11.70%,"$9,750,000 ","$12,000,000 ","$10,000,000 ","$12,000,000 ","$2,000,000 ",$0 
7,7,Johnny Gaudreau,CBJ,33,"Aug. 13, 1993",United States,165 lbs - 75 kg,"5'9"" - 175 cm",LW,Left,104 - Round 4 - 2011 (CGY),,,,CBJ,Standard (1-way),,"Jul. 13, 2022",28,,,"M-NTC, NMC",7,UFA,UFA,2029,"$9,750,000 ",11.80%,"$9,750,000 ","$9,750,000 ","$7,750,000 ","$9,750,000 ","$2,000,000 ",$0 
8,8,Zachary Werenski,CBJ,29,"Jul. 19, 1997",United States,212 lbs - 96 kg,"6'2"" - 188 cm",LD,Left,8 - Round 1 - 2015 (CBJ),,,,CBJ,Standard (1-way),,"Jul. 29, 2021",24,Yes,,M-NTC,6,RFA,UFA,2028,"$9,583,333 ",11.80%,"$9,583,333 ","$7,250,000 ","$1,000,000 ","$7,250,000 ","$6,250,000 ",$0 
9,9,Andrei Vasilevskiy,TBL,32,"Jul. 25, 1994",Russia,216 lbs - 98 kg,"6'3"" - 191 cm",G,Left,19 - Round 1 - 2012 (TBL),,,,TBL,Standard (1-way),Yes,"Jul. 29, 2019",25,Yes,,M-NTC,8,RFA,UFA,2028,"$9,500,000 ",11.70%,"$9,500,000 ","$6,000,000 ","$3,000,000 ","$6,000,000 ","$3,000,000 ",$0 
