,"Defense (6 - $24,575,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"McAvoy, Charlie ""A""",6 UFA,NMC,RD,NHL,Draft,26.0,10.8,"$9,500,000","$9,500,000","$9,500,000","$9,500,000","$9,500,000","$9,500,000"
1,"Lindholm, Hampus",6 UFA,"NTC, NMC",LD,NHL,Trade,30.0,7.4,"$6,500,000","$6,500,000","$6,500,000","$6,500,000","$6,500,000","$6,500,000"
2,"Carlo, Brandon",3 UFA,M-NTC,RD,NHL,Draft,27.0,4.7,"$4,100,000","$4,100,000","$4,100,000",UFA,,
3,"Peeke, Andrew",2 UFA,,RD,NHL,Trade,26.0,3.1,"$2,750,000","$2,750,000",UFA,,,
4,"Lohrei, Mason",1 RFA,ELC,LD,NHL,Draft,23.0,1.1,"$925,000",RFA,,,,
5,"Wotherspoon, Parker",1 UFA,,LD,NHL,Signed,26.0,0.9,"$800,000",UFA,,,,
6,"Forbort, Derek",0 UFA,,LD,NHL,Signed,32.0,,UFA,,,,,
7,"Grzelcyk, Matt",0 UFA,,LD,NHL,Draft,30.0,,UFA,,,,,
8,"Shattenkirk, Kevin",0 UFA,,RD,NHL,Signed,35.0,,UFA,,,,,
9,TOTAL,,,,,,28.3,27.9,"$24,575,000","$22,850,000","$20,100,000","$16,000,000","$16,000,000","$16,000,000"
