"Forwards (11 - $35,797,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Pastrnak, David ""A""",7 UFA,NMC,RW,NHL,Draft,28.0,12.8,"$11,250,000","$11,250,000","$11,250,000","$11,250,000","$11,250,000","$11,250,000"
"Marchand, Brad ""C""",1 UFA,M-NTC,LW,NHL,Draft,36.0,7.0,"$6,125,000",UFA,,,,
"Coyle, Charlie",2 UFA,"M-NTC, NMC","C, RW",NHL,Trade,32.0,6.0,"$5,250,000","$5,250,000",UFA,,,
"Zacha, Pavel",3 UFA,M-NTC,"C, LW",NHL,Trade,27.0,5.4,"$4,750,000","$4,750,000","$4,750,000",UFA,,
"Frederic, Trent",1 UFA,,"LW, RW",NHL,Draft,26.0,2.6,"$2,300,000",UFA,,,,
"Geekie, Morgan",1 RFA,,"C, RW",NHL,Signed,25.0,2.3,"$2,000,000",RFA,,,,
"Beecher, John",1 RFA,ELC,C,NHL,Draft,23.0,1.1,"$925,000",RFA,,,,
"Kastelic, Mark",1 RFA,,"C, RW",NHL,Trade,25.0,0.9,"$835,000",RFA,,,,
"Brown, Patrick",1 UFA,,"C, RW",NHL,Signed,32.0,0.9,"$800,000",UFA,,,,
"Lauko, Jakub",1 RFA,,"LW, RW",NHL,Draft,24.0,0.9,"$787,500",RFA,,,,
"Brazeau, Justin",1 UFA,,RW,NHL,Signed,26.0,0.9,"$775,000",UFA,,,,
"Boqvist, Jesper",0 RFA,,"C, LW",NHL,Signed,25.0,,RFA,,,,,
"DeBrusk, Jake",0 UFA,,"RW, LW",NHL,Draft,27.0,,UFA,,,,,
"Heinen, Danton",0 UFA,,"LW, RW",NHL,Signed,28.0,,UFA,,,,,
"Maroon, Patrick",0 UFA,,"LW, RW",NHL,Trade,36.0,,UFA,,,,,
"Megna, Jayson",0 UFA,,"C, LW, RW",NHL,Signed,34.0,,UFA,,,,,
"van Riemsdyk, James",0 UFA,,"LW, RW",NHL,Signed,35.0,,UFA,,,,,
TOTAL,,,,,,28.8,40.7,"$35,797,500","$21,250,000","$16,000,000","$11,250,000","$11,250,000","$11,250,000"
