Defense (7),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bavaro, Drew",1 RFA,ELC,RD,Minor,Signed,24,-,"$867,500 ",RFA,,,,
"Brunet, Frederic",2 RFA,ELC,LD,Minor,Draft,20,-,"$860,000 ","$860,000 ",RFA,,,
"Edward, Jackson",3 RFA,ELC,LD,Junior,Draft,20,-,"$831,667 ","$831,667 ","$831,667 ",RFA,,
"Mast, Ryan",2 RFA,ELC,RD,Minor,Draft,21,-,"$830,556 ","$830,556 ",RFA,,,
"Mitchell, Ian",1 RFA,,RD,Minor,Trade,25,-,"$775,000 ",RFA,,,,
"Oesterle, Jordan",2 UFA,,LD/RD,Minor,Signed,32,-,"$775,000 ","$775,000 ",UFA,,,
"Sweezey, Billy",2 UFA,,RD,Minor,Signed,28,-,"$775,000 ","$775,000 ",UFA,,,
"Callahan, Michael",0 RFA,,LD,Minor,Trade,24,-,RFA,,,,,
"Regula, Alec",0 RFA,,RD,Minor,Trade,23,-,RFA,,,,,
TOTAL,,,,,,24.1,-,"$5,714,723 ","$4,072,223 ","$831,667 ",,,
