Forwards (10),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Merkulov, Georgi",1 RFA,ELC,LW,Minor,Signed,23,-,"$925,000 ",RFA,,,,
"Farinacci, John",1 RFA,ELC,C,Minor,Signed,23,-,"$910,000 ",RFA,,,,
"Nelson, Jaxon",1 RFA,ELC,C,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Duran, Riley",2 RFA,ELC,C,Minor,Draft,22,-,"$867,500 ","$867,500 ",RFA,,,
"Kuntar, Trevor",1 RFA,ELC,C,Minor,Draft,23,-,"$867,500 ",RFA,,,,
"Lysell, Fabian",2 RFA,ELC,RW,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Harrison, Brett",2 RFA,ELC,C,Minor,Draft,21,-,"$836,667 ","$836,667 ",RFA,,,
"Koepke, Cole",1 UFA,,"LW, RW",Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Tufte, Riley",1 UFA,,LW,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Viel, Jeffrey",2 UFA,,LW,Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
"McLaughlin, Marc",0 RFA,,C,Minor,Signed,24,-,RFA,,,,,
TOTAL,,,,,,23.6,-,"$8,465,000 ","$3,342,500 ",,,,
