"Forwards (10 - $33,162,023)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Thompson, Tage",6 UFA,M-NTC,C,NHL,Trade,26,8.1,"$7,142,857 ","$7,142,857 ","$7,142,857 ","$7,142,857 ","$7,142,857 ","$7,142,857 "
"Cozens, Dylan",6 UFA,,"C, LW",NHL,Draft,23,8.1,"$7,100,000 ","$7,100,000 ","$7,100,000 ","$7,100,000 ","$7,100,000 ","$7,100,000 "
"Zucker, Jason",1 UFA,,"LW, RW",NHL,Signed,32,5.7,"$5,000,000 ",UFA,,,,
"Tuch, Alex",2 UFA,M-NTC,"RW, LW",NHL,Trade,28,5.4,"$4,750,000 ","$4,750,000 ",UFA,,,
"Greenway, Jordan",1 UFA,M-NTC,"LW, RW",NHL,Trade,27,3.4,"$3,000,000 ",UFA,,,,
"Lafferty, Sam",2 UFA,,"RW, C, LW",NHL,Signed,29,2.3,"$2,000,000 ","$2,000,000 ",UFA,,,
"Aube-Kubel, Nicolas",1 UFA,,RW,NHL,Signed,28,1.7,"$1,500,000 ",UFA,,,,
"Benson, Zach",2 RFA,ELC,LW,NHL,Draft,19,1.1,"$950,000 ","$950,000 ",RFA,,,
"Quinn, Jack",1 RFA,ELC,"RW, LW",NHL,Draft,22,1,"$863,333 ",RFA,,,,
"Peterka, John-Jason",1 RFA,ELC,"LW, RW",NHL,Draft,22,1,"$855,833 ",RFA,,,,
"Krebs, Peyton",0 RFA,,"C, LW",NHL,Trade,23,,RFA,,,,,
"Malenstyn, Beck",0 RFA,,"C, LW",NHL,Trade,26,,RFA,,,,,
TOTAL,,,,,,25.4,37.7,"$33,162,023 ","$21,942,857 ","$14,242,857 ","$14,242,857 ","$14,242,857 ","$14,242,857 "
