Forwards (13),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Rosen, Isak",2 RFA,ELC,RW,Minor,Draft,21,-,"$894,167 ","$894,167 ",RFA,,,
"Kulich, Jiri",3 RFA,ELC,"C, LW",Minor,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Ostlund, Noah",3 RFA,ELC,C,Minor,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Savoie, Matthew",3 RFA,ELC,C,Junior,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Neuchev, Viktor",2 RFA,ELC,LW,Minor,Draft,20,-,"$870,000 ","$870,000 ",RFA,,,
"Wahlberg, Anton",3 RFA,ELC,C,Minor,Draft,18,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Kisakov, Alexander",1 RFA,ELC,LW,Minor,Draft,21,-,"$859,167 ",RFA,,,,
"Kozak, Tyson",1 RFA,ELC,C,Minor,Draft,21,-,"$850,000 ",RFA,,,,
"Nadeau, Olivier",2 RFA,ELC,RW,Minor,Draft,21,-,"$836,667 ","$836,667 ",RFA,,,
"Jobst, Mason",1 UFA,,C,Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Rousek, Lukas",1 RFA,,RW,Minor,Draft,25,-,"$775,000 ",RFA,,,,
"Dunne, Joshua",2 UFA,,C,Minor,Signed,25,-,"$775,000 ","$775,000 ",UFA,,,
"Murray, Brett",1 RFA,,LW,Minor,Signed,25,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,22.1,-,"$10,935,002 ","$6,900,835 ","$3,525,001 ",,,
