"Forwards (9 - $41,175,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Larkin, Dylan ""C""",7 UFA,NTC,C,NHL,Draft,27,9.9,"$8,700,000 ","$8,700,000 ","$8,700,000 ","$8,700,000 ","$8,700,000 ","$8,700,000 "
"DeBrincat, Alex",3 UFA,M-NTC,"LW, RW",NHL,Trade,26,8.9,"$7,875,000 ","$7,875,000 ","$7,875,000 ",UFA,,
"Copp, Andrew",3 UFA,M-NTC,"C, LW, RW",NHL,Signed,29,6.4,"$5,625,000 ","$5,625,000 ","$5,625,000 ",UFA,,
"Compher, J.T.",4 UFA,M-NTC,"C, RW",NHL,Signed,29,5.8,"$5,100,000 ","$5,100,000 ","$5,100,000 ","$5,100,000 ",UFA,
"Tarasenko, Vladimir",2 UFA,,RW,NHL,Signed,32,5.4,"$4,750,000 ","$4,750,000 ",UFA,,,
"Kane, Patrick",1 UFA,35+NTC,RW,NHL,Signed,35,4.5,"$4,000,000 ",UFA,,,,
"Rasmussen, Michael",4 UFA,,"LW, C",NHL,Draft,25,3.6,"$3,200,000 ","$3,200,000 ","$3,200,000 ","$3,200,000 ",UFA,
"Fischer, Christian",1 UFA,,"RW, LW",NHL,Signed,27,1.3,"$1,125,000 ",UFA,,,,
"Motte, Tyler",1 UFA,,"LW, RW",NHL,Signed,29,0.9,"$800,000 ",UFA,,,,
"Raymond, Lucas",0 RFA,,"RW, LW",NHL,Draft,22,,RFA,,,,,
"Veleno, Joseph",0 RFA,,C,NHL,Draft,24,,RFA,,,,,
TOTAL,,,,,,27.7,46.8,"$41,175,000 ","$35,250,000 ","$30,500,000 ","$17,000,000 ","$8,700,000 ","$8,700,000 "
