Forwards (12),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Danielson, Nate",3 RFA,ELC,C,Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Mazur, Carter",2 RFA,ELC,LW,Minor,Draft,22,-,"$905,833 ","$905,833 ",RFA,,,
"Kasper, Marco",3 RFA,ELC,C,Minor,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Soderblom, Elmer",1 RFA,ELC,"LW, C",Minor,Draft,22,-,"$878,333 ",RFA,,,,
"Doucet, Alexandre",2 RFA,ELC,C,Minor,Signed,22,-,"$870,000 ","$870,000 ",RFA,,,
"Rychlovsky, Jakub",2 RFA,ELC,LW,Minor,Signed,22,-,"$870,000 ","$870,000 ",RFA,,,
"Hanas, Cross",1 RFA,ELC,LW,Minor,Draft,22,-,"$859,167 ",RFA,,,,
"Finnie, Emmitt",3 RFA,ELC,"C, LW, RW",Minor,Draft,19,-,"$845,000 ","$845,000 ","$845,000 ",RFA,,
"Lombardi, Amadeus",2 RFA,ELC,C,Minor,Draft,21,-,"$838,333 ","$838,333 ",RFA,,,
"Dries, Sheldon",2 UFA,,C,Minor,Signed,30,-,"$775,000 ","$775,000 ",UFA,,,
"Gettinger, Tim",1 UFA,,"LW, RW",Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Snively, Joe",1 UFA,,LW,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Berggren, Jonatan",0 RFA,,"RW, LW",Minor,Draft,23,-,RFA,,,,,
TOTAL,,,,,,22.8,-,"$10,196,666 ","$6,909,166 ","$2,650,000 ",,,
