"Forwards (11 - $43,037,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Suzuki, Nick ""C""",6 UFA,,C,NHL,Trade,24,8.9,"$7,875,000 ","$7,875,000 ","$7,875,000 ","$7,875,000 ","$7,875,000 ","$7,875,000 "
"Caufield, Cole",7 UFA,,"LW, RW",NHL,Draft,23,8.9,"$7,850,000 ","$7,850,000 ","$7,850,000 ","$7,850,000 ","$7,850,000 ","$7,850,000 "
"Gallagher, Brendan ""A""",3 UFA,"M-NTC, NMC","RW, LW",NHL,Draft,32,7.4,"$6,500,000 ","$6,500,000 ","$6,500,000 ",UFA,,
"Anderson, Josh",3 UFA,M-NTC,"RW, LW",NHL,Trade,30,6.3,"$5,500,000 ","$5,500,000 ","$5,500,000 ",UFA,,
"Dvorak, Christian",1 UFA,M-NTC,C,NHL,Trade,28,5.1,"$4,450,000 ",UFA,,,,
"Armia, Joel",1 UFA,,"RW, LW",NHL,Trade,31,3.9,"$3,400,000 ",UFA,,,,
"Newhook, Alex",3 RFA,,"C, LW",NHL,Trade,23,3.3,"$2,900,000 ","$2,900,000 ","$2,900,000 ",RFA,,
"Evans, Jake",1 UFA,,C,NHL,Draft,28,1.9,"$1,700,000 ",UFA,,,,
"Harvey-Pinard, Rafael",1 RFA,,"LW, RW",NHL,Draft,25,1.3,"$1,100,000 ",RFA,,,,
"Slafkovsky, Juraj",9 UFA,ELC,"RW, LW",NHL,Draft,20,1.1,"$950,000 ","$7,600,000 ","$7,600,000 ","$7,600,000 ","$7,600,000 ","$7,600,000 "
"Pezzetta, Michael",1 UFA,,"LW, RW",NHL,Draft,26,0.9,"$812,500 ",UFA,,,,
TOTAL,,,,,,26.4,48.9,"$43,037,500 ","$38,225,000 ","$38,225,000 ","$23,325,000 ","$23,325,000 ","$23,325,000 "
