Forwards (15),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kapanen, Oliver",3 RFA,ELC,C,Minor,Draft,20,-,"$925,000 ","$925,000 ","$925,000 ",RFA,,
"Tuch, Luke",2 RFA,ELC,LW,Minor,Draft,22,-,"$912,500 ","$912,500 ",RFA,,,
"Farrell, Sean",1 10.2(c),ELC,"RW, LW",Minor,Draft,22,-,"$897,500 ",10.2(c),,,,
"Heineman, Emil",1 RFA,ELC,"LW, RW",Minor,Trade,22,-,"$897,500 ",RFA,,,,
"Mesar, Filip",3 RFA,ELC,"RW, C",Junior,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Xhekaj, Florian",3 RFA,ELC,"LW, RW",Minor,Draft,20,-,"$866,667 ","$866,667 ","$866,667 ",RFA,,
"Perreault, Jacob",1 RFA,ELC,RW,Minor,Trade,22,-,"$863,333 ",RFA,,,,
"Davidson, Jared",2 RFA,ELC,C,Minor,Draft,21,-,"$862,500 ","$862,500 ",RFA,,,
"Simoneau, Xavier",1 RFA,ELC,"LW, RW",Minor,Draft,23,-,"$855,000 ",RFA,,,,
"Beck, Owen",3 RFA,ELC,C,Junior,Draft,20,-,"$853,333 ","$853,333 ","$853,333 ",RFA,,
"Kidney, Riley",2 RFA,ELC,C,Minor,Draft,21,-,"$836,667 ","$836,667 ",RFA,,,
"Roy, Joshua",2 RFA,ELC,"LW, RW",Minor,Draft,20,-,"$835,000 ","$835,000 ",RFA,,,
"Condotta, Lucas",1 UFA,,"C, LW",Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Gignac, Brandon",1 UFA,,C,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Barre-Boulet, Alex",1 UFA,,"RW, LW",Minor,Signed,27,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.1,-,"$12,816,667 ","$6,978,334 ","$3,531,667 ",,,
