Defense (10),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kleven, Tyler",1 10.2(c),ELC,LD,Minor,Draft,22,-,"$916,667 ",10.2(c),,,,
"Andonovski, Matthew",3 RFA,ELC,LD,Minor,Draft,19,-,"$863,333 ","$863,333 ","$863,333 ",RFA,,
"Sebrango, Donovan",1 RFA,ELC,LD,Minor,Trade,22,-,"$828,333 ",RFA,,,,
"Toure, Djibril",2 RFA,ELC,RD,Junior,Signed,21,-,"$805,000 ","$805,000 ",RFA,,,
"Hamara, Tomas",3 RFA,ELC,LD,Minor,Draft,20,-,"$803,333 ","$803,333 ","$803,333 ",RFA,,
"Donovan, Jorian",3 RFA,ELC,LD,Junior,Draft,20,-,"$796,667 ","$796,667 ","$796,667 ",RFA,,
"Guenette, Maxence",1 RFA,,RD,Minor,Draft,23,-,"$775,000 ",RFA,,,,
"Matinpalo, Nikolas",1 RFA,,RD,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Davies, Jeremy",1 UFA,,LD,Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Roos, Filip",1 UFA,,LD,Minor,Signed,25,-,"$775,000 ",UFA,,,,
"Thomson, Lassi",0 RFA,,RD,Minor,Waivers claim,23,-,RFA,,,,,
TOTAL,,,,,,22.5,-,"$8,113,333 ","$3,268,333 ","$2,463,333 ",,,
