Forwards (14),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Halliday, Stephen",2 RFA,ELC,C,Minor,Draft,22,-,"$950,000 ","$950,000 ",RFA,,,
"Jarventie, Roby",1 RFA,ELC,LW,Minor,Draft,21,-,"$894,167 ",RFA,,,,
"Boucher, Tyler",2 RFA,ELC,RW,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Pettersson, Oskar",3 RFA,ELC,RW,Minor,Draft,20,-,"$835,000 ","$835,000 ","$835,000 ",RFA,,
"Ostapchuk, Zack",2 RFA,ELC,C,Minor,Draft,21,-,"$825,000 ","$825,000 ",RFA,,,
"Daoust, Philippe",1 RFA,ELC,LW,Minor,Draft,22,-,"$821,667 ",RFA,,,,
"Bongiovanni, Wyatt",1 RFA,,C,Minor,Trade,24,-,"$775,000 ",RFA,,,,
"Crookshank, Angus",1 RFA,,LW,Minor,Draft,24,-,"$775,000 ",RFA,,,,
"Rees, Jamieson",1 RFA,,C,Minor,Trade,23,-,"$775,000 ",RFA,,,,
"Reinhardt, Cole",1 RFA,,LW,Minor,Draft,24,-,"$775,000 ",RFA,,,,
"Gaudette, Adam",1 UFA,,"C, RW",Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Highmore, Matthew",1 UFA,,"LW, RW",Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Hodgson, Hayden",1 UFA,,RW,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Pilon, Garrett",2 UFA,,C,Minor,Signed,26,-,"$775,000 ","$775,000 ",UFA,,,
"Jenik, Jan",0 RFA,,C,Minor,Trade,23,-,RFA,,,,,
TOTAL,,,,,,23.6,-,"$11,389,167 ","$4,248,333 ","$835,000 ",,,
