"Forwards (12 - $50,050,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kucherov, Nikita ""A""",3 UFA,M-NTC,RW,NHL,Draft,31,10.8,"$9,500,000 ","$9,500,000 ","$9,500,000 ",UFA,,
"Point, Brayden",6 UFA,NMC,"C, RW",NHL,Draft,28,10.8,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 "
"Guentzel, Jake",7 UFA,NMC,"LW, RW",NHL,Trade,29,10.2,"$9,000,000 ","$9,000,000 ","$9,000,000 ","$9,000,000 ","$9,000,000 ","$9,000,000 "
"Hagel, Brandon",8 UFA,,LW,NHL,Trade,25,7.4,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 "
"Cirelli, Anthony",7 UFA,,"C, LW",NHL,Draft,26,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 "
"Paul, Nicholas",5 UFA,NTC,"C, LW",NHL,Trade,29,3.6,"$3,150,000 ","$3,150,000 ","$3,150,000 ","$3,150,000 ","$3,150,000 ",UFA
"Sheary, Conor",2 UFA,M-NTC,"LW, RW",NHL,Signed,32,2.3,"$2,000,000 ","$2,000,000 ",UFA,,,
"Atkinson, Cam",1 UFA,35+,"RW, LW",NHL,Signed,35,1,"$900,000 ",UFA,,,,
"Girgensons, Zemgus",3 UFA,,"LW, C",NHL,Signed,30,1,"$850,000 ","$850,000 ","$850,000 ",UFA,,
"Eyssimont, Michael",1 UFA,,"RW, C",NHL,Trade,27,0.9,"$800,000 ",UFA,,,,
"Glendening, Luke",1 UFA,,"C, RW, LW",NHL,Signed,35,0.9,"$800,000 ",UFA,,,,
"Chaffee, Mitchell",2 UFA,,RW,NHL,Signed,26,0.9,"$800,000 ","$800,000 ",UFA,,,
TOTAL,,,,,,29.4,56.9,"$50,050,000 ","$47,550,000 ","$44,750,000 ","$34,400,000 ","$34,400,000 ","$31,250,000 "
