Forwards (14),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Geekie, Conor",3 RFA,ELC,C,Minor,Trade,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Roelens, Milo",3 RFA,ELC,C,Junior,Signed,21,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Szturc, Gabriel",3 RFA,ELC,C,Junior,Signed,20,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Duke, Dylan",3 RFA,ELC,LW,Minor,Draft,21,-,"$867,500 ","$867,500 ","$867,500 ",RFA,,
"Groshev, Maxim",2 RFA,ELC,"RW, LW",Minor,Draft,22,-,"$867,500 ","$867,500 ",RFA,,,
"Huuhtanen, Niko",3 RFA,ELC,RW,Minor,Draft,21,-,"$867,500 ","$867,500 ","$867,500 ",RFA,,
"Gauthier, Ethan",3 RFA,ELC,RW,Junior,Draft,19,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Edmonds, Lucas",1 RFA,ELC,"RW, LW",Minor,Draft,23,-,"$861,667 ",RFA,,,,
"Svejkovsky, Lukas",1 RFA,ELC,C,Minor,Trade,22,-,"$859,167 ",RFA,,,,
"Dureau, Jaydon",1 RFA,ELC,LW,Minor,Draft,23,-,"$841,667 ",RFA,,,,
"Finley, Jack",1 RFA,ELC,C,Minor,Draft,21,-,"$797,500 ",RFA,,,,
"Fortier, Gabriel",1 RFA,,LW,Minor,Draft,24,-,"$775,000 ",RFA,,,,
"Goncalves, Gage",1 RFA,,LW,Minor,Draft,23,-,"$775,000 ",RFA,,,,
"Ylonen, Jesse",1 RFA,,"RW, LW",Minor,Signed,24,-,"$775,000 ",RFA,,,,
"Merela, Waltteri",0 RFA,,RW,Minor,Signed,25,-,RFA,,,,,
TOTAL,,,,,,21.9,-,"$11,779,168 ","$6,094,167 ","$5,226,667 ",,,
