"Defense (10 - $26,100,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Rielly, Morgan ""A""",6 UFA,NMC,LD,NHL,Draft,30,8.5,"$7,500,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 "
"Tanev, Christopher",6 UFA,NMC,RD,NHL,Signed,34,5.1,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 "
"Ekman-Larsson, Oliver",4 UFA,,LD,NHL,Signed,32,4,"$3,500,000 ","$3,500,000 ","$3,500,000 ","$3,500,000 ",UFA,
"Liljegren, Timothy",2 UFA,,RD,NHL,Draft,25,3.4,"$3,000,000 ","$3,000,000 ",UFA,,,
"McCabe, Jake",1 UFA,RSM-NTC,LD/RD,NHL,Trade,30,2.3,"$2,000,000 ",UFA,,,,
"Hakanpaa, Jani",2 UFA,,RD,NHL,Signed,32,1.7,"$1,500,000 ","$1,500,000 ",UFA,,,
"Benoit, Simon",3 UFA,,LD,NHL,Signed,25,1.5,"$1,350,000 ","$1,350,000 ","$1,350,000 ",UFA,,
"Timmins, Conor",1 RFA,,RD,NHL,Trade,25,1.3,"$1,100,000 ",RFA,,,,
"Webber, Cade",1 10.2(c),ELC,LD,NHL,Trade,23,1,"$875,000 ",10.2(c),,,,
"Mermis, Dakota",1 UFA,,LD/RD,NHL,Signed,30,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,28.6,29.7,"$26,100,000 ","$21,350,000 ","$16,850,000 ","$15,500,000 ","$12,000,000 ","$12,000,000 "
