"Forwards (11 - $59,328,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Matthews, Auston ""A""",4 UFA,NMC,C,NHL,Draft,26,15.1,"$13,250,000 ","$13,250,000 ","$13,250,000 ","$13,250,000 ",UFA,
"Nylander, William",8 UFA,NMC,RW,NHL,Draft,28,13.1,"$11,500,000 ","$11,500,000 ","$11,500,000 ","$11,500,000 ","$11,500,000 ","$11,500,000 "
"Tavares, John ""C""",1 UFA,NMC,"C, LW",NHL,Signed,33,12.5,"$11,000,000 ",UFA,,,,
"Marner, Mitchell ""A""",1 UFA,NMC,RW,NHL,Draft,27,12.4,"$10,903,000 ",UFA,,,,
"Domi, Max",4 UFA,M-NTC,"C, RW",NHL,Signed,29,4.3,"$3,750,000 ","$3,750,000 ","$3,750,000 ","$3,750,000 ",UFA,
"Kampf, David",3 UFA,M-NTC,C,NHL,Signed,29,2.7,"$2,400,000 ","$2,400,000 ","$2,400,000 ",UFA,,
"Jarnkrok, Calle",2 UFA,M-NTC,"RW, C, LW",NHL,Signed,32,2.4,"$2,100,000 ","$2,100,000 ",UFA,,,
"Reaves, Ryan",2 UFA,35+,RW,NHL,Signed,37,1.5,"$1,350,000 ","$1,350,000 ",UFA,,,
"McMann, Bobby",2 UFA,,"RW, LW",NHL,Signed,28,1.5,"$1,350,000 ","$1,350,000 ",UFA,,,
"Knies, Matthew",1 RFA,ELC,"LW, RW",NHL,Draft,21,1.1,"$925,000 ",RFA,,,,
"Holmberg, Pontus",1 RFA,,"C, LW",NHL,Draft,25,0.9,"$800,000 ",RFA,,,,
"Dewar, Connor",0 RFA,,"LW, C",NHL,Trade,25,,RFA,,,,,
"Robertson, Nicholas",0 RFA,,"LW, RW",NHL,Draft,22,,RFA,,,,,
TOTAL,,,,,,27.8,67.4,"$59,328,000 ","$35,700,000 ","$30,900,000 ","$28,500,000 ","$11,500,000 ","$11,500,000 "
