Forwards (10),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Cowan, Easton",3 RFA,ELC,"LW, C",Junior,Draft,19,-,"$904,667 ","$904,667 ","$904,667 ",RFA,,
"Grebyonkin, Nikita",2 10.2(c),ELC,RW,Minor,Draft,21,-,"$875,000 ","$875,000 ",10.2(c),,,
"Quillan, Jacob",2 RFA,ELC,C,Minor,Signed,22,-,"$875,000 ","$875,000 ",RFA,,,
"Hirvonen, Roni",1 RFA,ELC,LW,Minor,Draft,22,-,"$856,667 ",RFA,,,,
"Tverberg, Ryan",2 RFA,ELC,"RW, C",Minor,Draft,22,-,"$851,667 ","$851,667 ",RFA,,,
"Minten, Fraser",3 RFA,ELC,"C, LW",Junior,Draft,19,-,"$816,667 ","$816,667 ","$816,667 ",RFA,,
"Kressler, Braeden",2 RFA,ELC,C,Junior,Signed,21,-,"$800,556 ","$800,556 ",RFA,,,
"Voit, Ty",2 RFA,ELC,LW,Minor,Draft,21,-,"$800,556 ","$800,556 ",RFA,,,
"Abruzzese, Nick",1 RFA,,"LW, C",Minor,Draft,25,-,"$775,000 ",RFA,,,,
"Pare, Cedric",1 RFA,,C,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Steeves, Alex",0 RFA,,"LW, RW",Minor,Signed,24,-,RFA,,,,,
TOTAL,,,,,,21.9,-,"$8,330,780 ","$5,924,113 ","$1,721,334 ",,,
