"Forwards (14 - $38,387,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bertuzzi, Tyler",4 UFA,,"LW, RW",NHL,Signed,29,6.3,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",UFA,
"Teravainen, Teuvo",3 UFA,,"LW, RW",NHL,Signed,29,6.1,"$5,400,000 ","$5,400,000 ","$5,400,000 ",UFA,,
"Foligno, Nick ""A""",2 UFA,35+,"LW, C, RW",NHL,Trade,36,5.1,"$4,500,000 ","$4,500,000 ",UFA,,,
"Athanasiou, Andreas",1 UFA,,"LW, RW",NHL,Signed,29,4.8,"$4,250,000 ",UFA,,,,
"Dickinson, Jason",2 UFA,,"C, LW",NHL,Trade,28,4.8,"$4,250,000 ","$4,250,000 ",UFA,,,
"Mikheyev, Ilya",2 UFA,RSM-NTC,"LW, RW",NHL,Trade,29,4.6,"$4,037,500 ","$4,037,500 ",UFA,,,
"Kurashev, Philipp",1 RFA,,"LW, C, RW",NHL,Draft,24,2.6,"$2,250,000 ",RFA,,,,
"Donato, Ryan",1 UFA,,"LW, C, RW",NHL,Signed,28,2.3,"$2,000,000 ",UFA,,,,
"Maroon, Patrick",1 UFA,35+,"LW, RW",NHL,Signed,36,1.5,"$1,300,000 ",UFA,,,,
"Reichel, Lukas",2 RFA,,"LW, C",NHL,Draft,22,1.4,"$1,200,000 ","$1,200,000 ",RFA,,,
"Smith, Craig",1 UFA,,RW,NHL,Signed,34,1.1,"$1,000,000 ",UFA,,,,
"Bedard, Connor",2 RFA,ELC,C,NHL,Draft,18,1.1,"$950,000 ","$950,000 ",RFA,,,
"Nazar, Frank",2 10.2(c),ELC,"RW, C",NHL,Draft,20,1.1,"$950,000 ","$950,000 ",10.2(c),,,
"Anderson, Joey",2 UFA,,RW,NHL,Signed,26,0.9,"$800,000 ","$800,000 ",UFA,,,
TOTAL,,,,,,27.7,43.6,"$38,387,500 ","$27,587,500 ","$10,900,000 ","$5,500,000 ",,
