Forwards (13),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Slaggert, Landon",1 RFA,ELC,LW,Minor,Draft,22,-,"$912,500 ",RFA,,,,
"Ludwinski, Paul",3 RFA,ELC,C,Minor,Draft,20,-,"$900,000 ","$900,000 ","$900,000 ",RFA,,
"Lardis, Nick",3 RFA,ELC,"LW, RW",Minor,Draft,18,-,"$896,667 ","$896,667 ","$896,667 ",RFA,,
"Saarela, Antti",1 RFA,ELC,C,Minor,Draft,23,-,"$896,250 ",RFA,,,,
"Rolston, Ryder",2 RFA,ELC,"C, LW, RW",Minor,Trade,22,-,"$895,000 ","$895,000 ",RFA,,,
"Misiak, Martin",3 RFA,ELC,RW,Minor,Draft,19,-,"$878,333 ","$878,333 ","$878,333 ",RFA,,
"Hayes, Gavin",3 RFA,ELC,LW,Minor,Draft,20,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Luypen, Jalen",1 RFA,ELC,C,Minor,Draft,22,-,"$859,167 ",RFA,,,,
"Savoie, Samuel",3 RFA,ELC,LW,Minor,Draft,20,-,"$846,667 ","$846,667 ","$846,667 ",RFA,,
"Dach, Colton",2 RFA,ELC,C,Minor,Draft,21,-,"$825,000 ","$825,000 ",RFA,,,
"Guttman, Cole",1 RFA,,C,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Sanford, Zachary",1 UFA,,"LW, RW",Minor,Waivers claim,29,-,"$775,000 ",UFA,,,,
"Seney, Brett",1 UFA,,"C, LW",Minor,Signed,28,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.2,-,"$11,099,584 ","$6,106,667 ","$4,386,667 ",,,
