"Forwards (10 - $43,596,250)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"MacKinnon, Nathan ""A""",7 UFA,NMC,C,NHL,Draft,28,14.3,"$12,600,000 ","$12,600,000 ","$12,600,000 ","$12,600,000 ","$12,600,000 ","$12,600,000 "
"Rantanen, Mikko",1 UFA,M-NTC,"RW, C",NHL,Draft,27,10.5,"$9,250,000 ",UFA,,,,
"Mittelstadt, Casey",3 UFA,,"LW, C",NHL,Trade,25,6.5,"$5,750,000 ","$5,750,000 ","$5,750,000 ",UFA,,
"Lehkonen, Artturi",3 UFA,M-NTC,"LW, RW",NHL,Trade,28,5.1,"$4,500,000 ","$4,500,000 ","$4,500,000 ",UFA,,
"Colton, Ross",3 UFA,NTC,"C, LW",NHL,Trade,27,4.5,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,,
"Wood, Miles",5 UFA,M-NTC,LW,NHL,Signed,28,2.8,"$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA
"Drouin, Jonathan",1 UFA,,"LW, RW",NHL,Signed,29,2.8,"$2,500,000 ",UFA,,,,
"Kovalenko, Nikolai",1 RFA,ELC,RW,NHL,Draft,24,1,"$896,250 ",RFA,,,,
"Kelly, Parker",2 UFA,,LW,NHL,Signed,25,0.9,"$825,000 ","$825,000 ",UFA,,,
"Kiviranta, Joel",1 UFA,,"RW, LW",NHL,Signed,28,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,26.9,49.5,"$43,596,250 ","$30,175,000 ","$29,350,000 ","$15,100,000 ","$15,100,000 ","$12,600,000 "
