,Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Behrens, Sean",3 RFA,ELC,LD,Minor,Draft,21.0,-,"$905,833","$905,833","$905,833",RFA,,
1,"Malinski, Sam",1 RFA,,RD,Minor,Signed,25.0,-,"$850,000",RFA,,,,
2,"Weinstein, Saige",3 RFA,ELC,LD,Minor,Signed,19.0,-,"$791,667","$791,667","$791,667",RFA,,
3,"Ahcan, Jack",1 UFA,,LD,Minor,Signed,27.0,-,"$775,000",UFA,,,,
4,"Middleton, Keaton",1 UFA,,LD,Minor,Signed,26.0,-,"$775,000",UFA,,,,
5,"Aamodt, Wyatt",0 RFA,,LD,Minor,Signed,26.0,-,RFA,,,,,
6,"Fairbrother, Gianni",0 RFA,,LD/RD,Minor,Trade,23.0,-,RFA,,,,,
7,"Clurman, Nathan",0 UFA,,RD,Minor,Draft,26.0,-,UFA G6,,,,,
8,"Hunt, Brad",0 UFA,,LD/RD,Minor,Signed,35.0,-,UFA,,,,,
9,"Schueneman, Corey",0 UFA,,LD/RD,Minor,Signed,28.0,-,UFA,,,,,
10,TOTAL,,,,,,25.6,-,"$4,097,500","$1,697,500","$1,697,500",,,
