Forwards (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bradley, Chase",2 RFA,ELC,LW,Minor,Signed,22,-,"$950,000 ","$950,000 ",RFA,,,
"Stienburg, Matthew",1 RFA,ELC,"C, RW",Minor,Draft,23,-,"$898,750 ",RFA,,,,
"Innala, Jere",1 UFA,ELC,LW,Minor,Signed,26,-,"$870,000 ",UFA,,,,
"Pavel, Ondrej",1 RFA,ELC,"C, LW, RW",Minor,Signed,23,-,"$870,000 ",RFA,,,,
"Olausson, Oskar",2 RFA,ELC,RW,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Foudy, Jean-Luc",1 RFA,ELC,C,Minor,Draft,22,-,"$847,500 ",RFA,,,,
"Ivan, Ivan",2 RFA,ELC,C,Minor,Signed,21,-,"$845,000 ","$845,000 ",RFA,,,
"Tynan, T.J.",1 UFA,,C,Minor,Signed,32,-,"$775,000 ",UFA,,,,
"Wagner, Chris",1 UFA,,"RW, C",Minor,Signed,33,-,"$775,000 ",UFA,,,,
"Polin, Jason",0 RFA,,RW,Minor,Signed,25,-,RFA,,,,,
TOTAL,,,,,,24.8,-,"$7,694,583 ","$2,658,333 ",,,,
