Forwards (14),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bourque, Mavrik",1 RFA,ELC,C,Minor,Draft,22,-,"$894,167 ",RFA,,,,
"Hryckowian, Justin",2 RFA,ELC,C,Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"Hyry, Arttu",2 RFA,ELC,"RW, C",Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"McDonald, Kyle",2 RFA,ELC,RW,Minor,Signed,22,-,"$870,000 ","$870,000 ",RFA,,,
"Ertel, Justin",3 RFA,ELC,LW,Minor,Draft,21,-,"$867,500 ","$867,500 ","$867,500 ",RFA,,
"Wheatcroft, Chase",2 RFA,ELC,LW,Minor,Signed,22,-,"$862,500 ","$862,500 ",RFA,,,
"Seminoff, Matthew",2 RFA,ELC,RW,Minor,Draft,20,-,"$850,000 ","$850,000 ",RFA,,,
"Stranges, Antonio",1 RFA,ELC,"C, LW",Minor,Draft,22,-,"$846,667 ",RFA,,,,
"Arcuri, Francesco",2 RFA,ELC,C,Minor,Draft,21,-,"$825,000 ","$825,000 ",RFA,,,
"Back, Oskar",1 RFA,,"C, RW",Minor,Draft,24,-,"$775,000 ",RFA,,,,
"Blumel, Matej",1 RFA,,LW,Minor,Signed,24,-,"$775,000 ",RFA,,,,
"Emilio Pettersen, Mathias",1 RFA,,C,Minor,Trade,24,-,"$775,000 ",RFA,,,,
"Hughes, Cameron",1 UFA,,"C, LW",Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Lind, Kole",1 UFA,,RW,Minor,Signed,25,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.9,-,"$11,630,834 ","$6,015,000 ","$867,500 ",,,
