"Forwards (12 - $40,925,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kaprizov, Kirill ""A""",2 UFA,NMC,LW,NHL,Draft,27.0,10.2,"$9,000,000","$9,000,000",UFA,,,
"Boldy, Matthew",6 UFA,,"RW, LW",NHL,Draft,23.0,8.0,"$7,000,000","$7,000,000","$7,000,000","$7,000,000","$7,000,000","$7,000,000"
"Eriksson Ek, Joel",5 UFA,"M-NTC, NMC",C,NHL,Draft,27.0,6.0,"$5,250,000","$5,250,000","$5,250,000","$5,250,000","$5,250,000",UFA
"Zuccarello, Mats",2 UFA,35+NMC,"RW, LW",NHL,Signed,36.0,4.7,"$4,125,000","$4,125,000",UFA,,,
"Foligno, Marcus ""A""",4 UFA,NMC,"RW, LW",NHL,Trade,32.0,4.5,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",UFA,
"Hartman, Ryan",3 UFA,NMC,"C, RW",NHL,Trade,29.0,4.5,"$4,000,000","$4,000,000","$4,000,000",UFA,,
"Gaudreau, Frédérick",4 UFA,M-NTC,"C, LW",NHL,Signed,31.0,2.4,"$2,100,000","$2,100,000","$2,100,000","$2,100,000",UFA,
"Johansson, Marcus",1 UFA,NTC,"LW, RW",NHL,Trade,33.0,2.3,"$2,000,000",UFA,,,,
"Khusnutdinov, Marat",1 RFA,ELC,C,NHL,Draft,21.0,1.1,"$925,000",RFA,,,,
"Öhgren, Liam",3 RFA,ELC,LW,NHL,Draft,20.0,1.0,"$886,667","$886,667","$886,667",RFA,,
"Rossi, Marco",1 RFA,ELC,C,NHL,Draft,22.0,1.0,"$863,333",RFA,,,,
"Lettieri, Vinni",1 UFA,,"C, RW",NHL,Signed,29.0,0.9,"$775,000",UFA,,,,
"Shaw, Mason",0 RFA,,"LW, C",NHL,Signed,25.0,,RFA,,,,,
"Lucchini, Jacob",0 UFA,,"RW, C, LW",NHL,Signed,29.0,,UFA,,,,,
TOTAL,,,,,,27.4,46.5,"$40,925,000","$36,361,667","$23,236,667","$18,350,000","$12,250,000","$7,000,000"
