Forwards (10),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Heidt, Riley",3 RFA,ELC,"C, LW, RW",Minor,Draft,19,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Kumpulainen, Rasmus",3 RFA,ELC,C,Minor,Draft,18,-,"$897,500 ","$897,500 ","$897,500 ",RFA,,
"Toporowski, Luke",1 RFA,ELC,LW,Minor,Trade,23,-,"$870,000 ",RFA,,,,
"Bankier, Caedan",2 RFA,ELC,C,Minor,Draft,21,-,"$867,500 ","$867,500 ",RFA,,,
"Haight, Hunter",3 RFA,ELC,C,Junior,Draft,20,-,"$865,833 ","$865,833 ","$865,833 ",RFA,,
"Milne, Michael",1 RFA,ELC,LW,Minor,Draft,21,-,"$861,667 ",RFA,,,,
"Novak, Pavel",1 RFA,ELC,RW,Minor,Draft,22,-,"$846,667 ",RFA,,,,
"Gaunce, Brendan",2 UFA,,"LW, C",Minor,Signed,30,-,"$775,000 ","$775,000 ",UFA,,,
"Jones, Benjamin",2 UFA,,C,Minor,Signed,25,-,"$775,000 ","$775,000 ",UFA,,,
"Shore, Devin",1 UFA,,"LW, C, RW",Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Clarke, Graeme",0 RFA,,"RW, C",Minor,Trade,23,-,RFA,,,,,
"Raska, Adam",0 RFA,,"LW, RW",Minor,Trade,22,-,RFA,,,,,
"Walker, Samuel",0 RFA,,"RW, LW",Minor,Signed,25,-,RFA,,,,,
TOTAL,,,,,,22.9,-,"$8,484,167 ","$5,130,833 ","$2,713,333 ",,,
