"Forwards (10 - $40,982,262)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kyrou, Jordan",7 UFA,,RW,NHL,Draft,26,9.2,"$8,125,000 ","$8,125,000 ","$8,125,000 ","$8,125,000 ","$8,125,000 ","$8,125,000 "
"Thomas, Robert ""A""",7 UFA,,"C, RW",NHL,Draft,24,9.2,"$8,125,000 ","$8,125,000 ","$8,125,000 ","$8,125,000 ","$8,125,000 ","$8,125,000 "
"Schenn, Brayden ""C""",4 UFA,NTC,"C, LW",NHL,Trade,32,7.4,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",UFA,
"Buchnevich, Pavel",1 UFA,M-NTC,"LW, RW, C",NHL,Trade,29,6.6,"$5,800,000 ",UFA,,,,
"Saad, Brandon",2 UFA,NTC,"LW, RW",NHL,Signed,31,5.1,"$4,500,000 ","$4,500,000 ",UFA,,,
"Hayes, Kevin",2 UFA,RSM-NTC,C,NHL,Trade,32,4.1,"$3,571,429 ","$3,571,429 ",UFA,,,
"Sundqvist, Oskar",2 UFA,,"RW, C",NHL,Signed,30,1.7,"$1,500,000 ","$1,500,000 ",UFA,,,
"Toropchenko, Alexey",1 RFA,,"LW, RW",NHL,Draft,24,1.4,"$1,250,000 ",RFA,,,,
"Neighbours, Jake",1 RFA,ELC,"LW, RW",NHL,Draft,22,0.9,"$835,833 ",RFA,,,,
"Walker, Nathan",2 UFA,,LW,NHL,Signed,30,0.9,"$775,000 ","$775,000 ",UFA,,,
"Alexandrov, Nikita",0 RFA,,C,NHL,Draft,23,,RFA,,,,,
"Blais, Samuel",0 UFA,,"LW, RW",NHL,Trade,28,,UFA,,,,,
"Kapanen, Kasperi",0 UFA,,RW,NHL,Waivers claim,27,,UFA,,,,,
TOTAL,,,,,,27.5,46.6,"$40,982,262 ","$33,096,429 ","$22,750,000 ","$22,750,000 ","$16,250,000 ","$16,250,000 "
