Defense (11),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Jiricek, Adam",3 RFA,ELC,RD,Minor,Draft,18,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Lindstein, Theo",3 RFA,ELC,LD,Minor,Draft,19,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Malmstrom, Anton",1 RFA,ELC,LD,Minor,Signed,24,-,"$910,000 ",RFA,,,,
"Johannesson, Samuel",2 RFA,ELC,RD,Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"Loof, Leo",2 RFA,ELC,LD,Minor,Draft,22,-,"$867,500 ","$867,500 ",RFA,,,
"Buchinger, Michael",3 RFA,ELC,LD,Junior,Draft,20,-,"$838,333 ","$838,333 ","$838,333 ",RFA,,
"Biakabutuka, Jeremie",2 RFA,ELC,RD,Minor,Signed,22,-,"$825,000 ","$825,000 ",RFA,,,
"Gaudet, Marc-Andre",3 RFA,ELC,LD,Minor,Draft,20,-,"$802,500 ","$802,500 ","$802,500 ",RFA,,
"Kessel, Matthew",2 RFA,,RD,Minor,Draft,24,-,"$800,000 ","$800,000 ",RFA,,,
"Skinner, Hunter",1 RFA,,RD,Minor,Trade,23,-,"$775,000 ",RFA,,,,
"Schueneman, Corey",1 UFA,,LD/RD,Minor,Signed,28,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.1,-,"$9,363,333 ","$6,903,333 ","$3,540,833 ",,,
