Forwards (14),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Stenberg, Otto",3 RFA,ELC,C,Minor,Draft,19,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Dvorsky, Dalibor",3 RFA,ELC,C,Junior,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Kaskimaki, Aleksanteri",3 RFA,ELC,C,Minor,Draft,20,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Pekarcik, Juraj",3 RFA,ELC,LW,Minor,Draft,18,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Sylvegard, Marcus",1 RFA,ELC,"RW, LW",Minor,Signed,25,-,"$870,000 ",RFA,,,,
"Peterson, Dylan",2 RFA,ELC,C,Minor,Draft,22,-,"$867,500 ","$867,500 ",RFA,,,
"Robertsson, Simon",3 RFA,ELC,RW,Minor,Draft,21,-,"$867,500 ","$867,500 ","$867,500 ",RFA,,
"Stancl, Jakub",3 RFA,ELC,LW,Minor,Draft,19,-,"$866,667 ","$866,667 ","$866,667 ",RFA,,
"Bolduc, Zachary",2 RFA,ELC,LW,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Dean, Zach",2 RFA,ELC,C,Minor,Trade,21,-,"$852,500 ","$852,500 ",RFA,,,
"Dickinson, Tanner",1 10.2(c),ELC,C,Minor,Draft,22,-,"$826,667 ",10.2(c),,,,
"MacEachern, Mackenzie",1 UFA,,"LW, RW",Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Laferriere, Mathias",1 RFA,,C,Minor,Draft,24,-,"$775,000 ",RFA,,,,
"McGing, Hugh",2 UFA,,"LW, C",Minor,Draft,25,-,"$775,000 ","$775,000 ",UFA,,,
"Abramov, Mikhail",0 RFA,,C,Minor,Trade,23,-,RFA,,,,,
TOTAL,,,,,,21.9,-,"$11,947,500 ","$8,700,833 ","$5,342,500 ",,,
