"Forwards (9 - $29,649,999)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Keller, Clayton",4 UFA,NTC,"LW, RW",NHL,Draft,25.0,8.1,"$7,150,000","$7,150,000","$7,150,000","$7,150,000",UFA,
"Schmaltz, Nick",2 UFA,M-NTC,"RW, C",NHL,Trade,28.0,6.6,"$5,850,000","$5,850,000",UFA,,,
"Crouse, Lawson",3 UFA,,"LW, RW",NHL,Trade,27.0,4.9,"$4,300,000","$4,300,000","$4,300,000",UFA,,
"Kerfoot, Alexander",1 UFA,M-NTC,"LW, C, RW",NHL,Signed,29.0,4.0,"$3,500,000",UFA,,,,
"Maccelli, Matias",2 RFA,,LW,NHL,Draft,23.0,3.9,"$3,425,000","$3,425,000",RFA,,,
"Bjugstad, Nick",1 UFA,,"C, RW",NHL,Signed,31.0,2.4,"$2,100,000",UFA,,,,
"McBain, Jack",1 RFA,,"C, LW",NHL,Signed,24.0,1.8,"$1,599,999",RFA,,,,
"Cooley, Logan",2 RFA,ELC,C,NHL,Draft,20.0,1.1,"$950,000","$950,000",RFA,,,
"Carcone, Michael",1 UFA,,"LW, RW",NHL,Signed,28.0,0.9,"$775,000",UFA,,,,
"Hayton, Barrett",0 RFA,,"C, LW",NHL,Draft,24.0,,RFA,,,,,
"O'Brien, Liam",0 UFA,,"LW, RW",NHL,Signed,29.0,,UFA,,,,,
TOTAL,,,,,,26.2,33.7,"$29,649,999","$21,675,000","$11,450,000","$7,150,000",,
