,Defense (4),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Lamoureux, Maveric",3 RFA,ELC,RD,Junior,Draft,20.0,-,"$886,667","$886,667","$886,667",RFA,,
1,"Szuber, Maksymilian",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$859,167","$859,167",RFA,,,
2,"Onyebuchi, Montana",1 RFA,ELC,RD,Minor,Signed,24.0,-,"$825,000",RFA,,,,
3,"Koch, Patrik",1 UFA,,D,Minor,Signed,27.0,-,"$775,000",UFA,,,,
4,"Kesselring, Michael",0 RFA,,RD,Minor,Trade,24.0,-,RFA,,,,,
5,"Kolyachonok, Vladislav",0 RFA,,LD/RD,Minor,Trade,23.0,-,RFA,,,,,
6,"Söderström, Victor",0 RFA,,RD,Minor,Draft,23.0,-,RFA,,,,,
7,"Crotty, Cameron",0 UFA,,RD,Minor,Draft,25.0,-,UFA G6,,,,,
8,"Kampfer, Steven",0 UFA,,RD,Minor,Trade,35.0,-,UFA,,,,,
9,TOTAL,,,,,,24.7,-,"$3,345,834","$1,745,834","$886,667",,,
