Forwards (11),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Doan, Josh",2 RFA,ELC,RW,Minor,Draft,22,-,"$925,000 ","$925,000 ",RFA,,,
"Lutz, Julian",3 RFA,ELC,LW,Minor,Draft,20,-,"$923,333 ","$923,333 ","$923,333 ",RFA,,
"Raty, Aku",1 RFA,ELC,C,Minor,Draft,22,-,"$896,250 ",RFA,,,,
"Guenther, Dylan",1 RFA,ELC,"RW, LW",Minor,Draft,21,-,"$894,167 ",RFA,,,,
"Matikka, Miko",3 RFA,ELC,RW,Minor,Draft,20,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Nordh, Noel",3 RFA,ELC,"RW, LW",Minor,Draft,19,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Lipkin, Sam",3 RFA,ELC,LW,Minor,Draft,21,-,"$851,667 ","$851,667 ","$851,667 ",RFA,,
"Kelemen, Milos",1 RFA,,RW,Minor,Signed,24,-,"$775,000 ",RFA,,,,
"McCartney, Ben",1 RFA,,LW,Minor,Draft,22,-,"$775,000 ",RFA,,,,
"Agozzino, Andrew",2 UFA,,"C, LW",Minor,Signed,33,-,"$775,000 ","$775,000 ",UFA,,,
"Barron, Travis",1 RFA,,LW,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Douglas, Curtis",0 RFA,,C,Minor,Trade,24,-,RFA,,,,,
"Sokolov, Egor",0 RFA,,LW,Minor,Trade,24,-,RFA,,,,,
TOTAL,,,,,,22.8,-,"$9,325,417 ","$5,210,000 ","$3,510,000 ",,,
