Forwards (10),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Barlow, Colby",3 RFA,ELC,LW,Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Lucius, Chaz",2 RFA,ELC,C,Minor,Draft,21,-,"$894,167 ","$894,167 ",RFA,,,
"Lambert, Brad",3 RFA,ELC,"C, RW",Minor,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Chibrikov, Nikita",2 RFA,ELC,RW,Minor,Draft,21,-,"$875,833 ","$875,833 ",RFA,,,
"Ford, Parker",1 RFA,ELC,C,Minor,Signed,23,-,"$867,500 ",RFA,,,,
"Torgersson, Daniel",1 RFA,ELC,"LW, RW",Minor,Draft,22,-,"$867,500 ",RFA,,,,
"Nikkanen, Henri",1 RFA,ELC,C,Minor,Draft,23,-,"$859,167 ",RFA,,,,
"Wagner, Fabian",3 RFA,ELC,C,Loan,Draft,20,-,"$830,556 ","$830,556 ","$830,556 ",RFA,,
"Zhilkin, Danil",3 RFA,ELC,C,Minor,Draft,20,-,"$803,333 ","$803,333 ","$803,333 ",RFA,,
"Toninato, Dominic",1 UFA,,"C, LW",Minor,Signed,30,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,21.9,-,"$8,578,056 ","$5,208,889 ","$3,438,889 ",,,
