Defense (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Fensore, Domenick",1 RFA,ELC,LD,Minor,Draft,22,-,"$925,000 ",RFA,,,,
"Nystrom, Joel",2 RFA,ELC,RD,Minor,Draft,22,-,"$925,000 ","$925,000 ",RFA,,,
"Morrow, Scott",2 RFA,ELC,RD,Minor,Draft,21,-,"$916,667 ","$916,667 ",RFA,,,
"Legault, Charles-Alexis",3 RFA,ELC,RD,Minor,Draft,20,-,"$915,833 ","$915,833 ","$915,833 ",RFA,,
"Honka, Anttoni",1 RFA,ELC,RD,Loan,Draft,23,-,"$836,667 ",RFA,,,,
"Seeley, Ronan",1 RFA,ELC,LD,Minor,Draft,21,-,"$810,000 ",RFA,,,,
"Heimosalmi, Aleksi",2 RFA,ELC,RD,Loan,Draft,21,-,"$805,833 ","$805,833 ",RFA,,,
"Smith, Ty",1 RFA,,LD/RD,Loan,Trade,24,-,"$775,000 ",RFA,,,,
"Stillman, Riley",1 UFA,,LD,Minor,Signed,26,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.2,-,"$7,685,000 ","$3,563,333 ","$915,833 ",,,
