,Defense (6),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Ceulemans, Corson",2 RFA,ELC,RD,Minor,Draft,21.0,-,"$925,000","$925,000",RFA,,,
1,"Jiricek, David",2 RFA,ELC,RD,Minor,Draft,20.0,-,"$918,333","$918,333",RFA,,,
2,"Mateychuk, Denton",3 RFA,ELC,LD,Minor,Draft,19.0,-,"$886,667","$886,667","$886,667",RFA,,
3,"Knazko, Samuel",1 RFA,ELC,LD,Minor,Draft,21.0,-,"$847,500",RFA,,,,
4,"Bjørgvik Holm, Ole Julian",1 RFA,ELC,LD,Minor,Draft,22.0,-,"$825,000",RFA,,,,
5,"Svozil, Stanislav",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$825,000","$825,000",RFA,,,
6,"Bjork, Marcus",0 RFA,,RD,Minor,Signed,26.0,-,RFA,,,,,
7,"Christiansen, Jake",0 RFA,,LD/RD,Minor,Signed,24.0,-,RFA,,,,,
8,"Blankenburg, Nick",0 UFA,,LD/RD,Minor,Signed,26.0,-,UFA G6,,,,,
9,"Sweezey, Billy",0 UFA,,RD,Minor,Signed,28.0,-,UFA,,,,,
10,"Zboril, Jakub",0 UFA,,LD/RD,Minor,Trade,27.0,-,UFA,,,,,
11,TOTAL,,,,,,23.2,-,"$5,227,500","$3,555,000","$886,667",,,
