Forwards (11),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"McKown, Hunter",1 RFA,ELC,C,Minor,Signed,21,-,"$950,000 ",RFA,,,,
"Pyyhtia, Mikael",1 RFA,ELC,C,Minor,Draft,22,-,"$897,500 ",RFA,,,,
"Pinelli, Luca",3 RFA,ELC,C,Minor,Draft,19,-,"$878,333 ","$878,333 ","$878,333 ",RFA,,
"Del Bel Belluz, Luca",3 RFA,ELC,C,Minor,Draft,20,-,"$860,000 ","$860,000 ","$860,000 ",RFA,,
"Dumais, Jordan",3 RFA,ELC,RW,Junior,Draft,20,-,"$860,000 ","$860,000 ","$860,000 ",RFA,,
"Butler, Cameron",2 RFA,ELC,RW,Minor,Signed,22,-,"$858,333 ","$858,333 ",RFA,,,
"McCue, Max",3 RFA,ELC,C,Junior,Signed,21,-,"$858,333 ","$858,333 ","$858,333 ",RFA,,
"Malatesta, James",2 RFA,ELC,LW,Minor,Draft,21,-,"$841,667 ","$841,667 ",RFA,,,
"Fix-Wolansky, Trey",1 RFA,,RW,Minor,Draft,25,-,"$775,000 ",RFA,,,,
"Sillinger, Owen",1 UFA,,C,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Gambrell, Dylan",1 UFA,,C,Minor,Signed,27,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.2,-,"$9,329,166 ","$5,156,666 ","$3,456,666 ",,,
