"Forwards (8 - $42,969,167)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Meier, Timo",7 UFA,NMC,"LW, RW",NHL,Trade,27.0,10.0,"$8,800,000","$8,800,000","$8,800,000","$8,800,000","$8,800,000","$8,800,000"
"Hughes, Jack ""A""",6 UFA,,C,NHL,Draft,23.0,9.1,"$8,000,000","$8,000,000","$8,000,000","$8,000,000","$8,000,000","$8,000,000"
"Bratt, Jesper",7 UFA,NMC,"RW, LW",NHL,Draft,25.0,8.9,"$7,875,000","$7,875,000","$7,875,000","$7,875,000","$7,875,000","$7,875,000"
"Hischier, Nico ""C""",3 UFA,M-NTC,C,NHL,Draft,25.0,8.2,"$7,250,000","$7,250,000","$7,250,000",UFA,,
"Palat, Ondrej ""A""",3 UFA,NMC,"LW, RW",NHL,Signed,33.0,6.8,"$6,000,000","$6,000,000","$6,000,000",UFA,,
"Haula, Erik",2 UFA,NTC,"C, LW",NHL,Trade,33.0,3.6,"$3,150,000","$3,150,000",UFA,,,
"Lazar, Curtis",1 UFA,,"RW, C",NHL,Trade,29.0,1.1,"$1,000,000",UFA,,,,
"Holtz, Alexander",1 RFA,ELC,"RW, LW",NHL,Draft,22.0,1.0,"$894,167",RFA,,,,
"Foote, Nolan",0 RFA,,LW,NHL,Trade,23.0,,RFA,,,,,
"Mercer, Dawson",0 RFA,,"RW, C",NHL,Draft,22.0,,RFA,,,,,
"Nosek, Tomas",0 UFA,,"LW, C",NHL,Signed,31.0,,UFA,,,,,
"Tierney, Chris",0 UFA,,C,NHL,Signed,29.0,,UFA,,,,,
TOTAL,,,,,,26.8,48.8,"$42,969,167","$41,075,000","$37,925,000","$24,675,000","$24,675,000","$24,675,000"
