Forwards (11),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Wendt, Dylan",2 RFA,ELC,RW,Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"Stillman, Chase",2 RFA,ELC,RW,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Filmon, Josh",3 RFA,ELC,LW,Junior,Draft,20,-,"$838,333 ","$838,333 ","$838,333 ",RFA,,
"Dowling, Justin",1 UFA,,"C, LW",Minor,Signed,33,-,"$775,000 ",UFA,,,,
"Schmelzer, Ryan",2 UFA,,C,Minor,Signed,30,-,"$775,000 ","$775,000 ",UFA,,,
"Bowers, Shane",2 RFA,,C,Minor,Trade,24,-,"$775,000 ","$775,000 ",RFA,,,
"Halonen, Brian",2 UFA,,"LW, RW",Minor,Signed,25,-,"$775,000 ","$775,000 ",UFA,,,
"Legare, Nathan",1 RFA,,RW,Minor,Trade,23,-,"$775,000 ",RFA,,,,
"Hardman, Mike",2 UFA,,"LW, RW",Minor,Signed,25,-,"$775,000 ","$775,000 ",UFA,,,
"Laberge, Samuel",1 UFA,,C,Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Willman, Max",1 UFA,,LW,Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Beckman, Adam",0 RFA,,LW,Minor,Trade,23,-,RFA,,,,,
TOTAL,,,,,,25.3,-,"$8,771,666 ","$5,671,666 ","$838,333 ",,,
