Forwards (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Tsyplakov, Maxim",1 RFA,ELC,RW,Minor,Signed,25,-,"$950,000 ",RFA,,,,
"Maggio, Matthew",2 RFA,ELC,RW,Minor,Draft,21,-,"$870,000 ","$870,000 ",RFA,,,
"Nurmi, Jesse",3 RFA,ELC,LW,Minor,Draft,19,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Thiesing, Cam",2 RFA,ELC,C,Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"Jefferies, Alex",2 RFA,ELC,LW,Minor,Draft,22,-,"$867,500 ","$867,500 ",RFA,,,
"Liukas, Eetu",2 RFA,ELC,LW,Minor,Draft,21,-,"$867,500 ","$867,500 ",RFA,,,
"Dufour, William",1 RFA,ELC,RW,Minor,Draft,22,-,"$859,167 ",RFA,,,,
"Kuefler, Daylan",2 RFA,ELC,LW,Minor,Draft,22,-,"$840,000 ","$840,000 ",RFA,,,
"Thompson, Tyce",0 RFA,,RW,Minor,Trade,24,-,RFA,,,,,
TOTAL,,,,,,22.1,-,"$6,994,167 ","$5,185,000 ","$870,000 ",,,
