"Forwards (14 - $50,262,857)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Panarin, Artemi ""A""",2 UFA,NMC,LW,NHL,Signed,32,13.2,"$11,642,857 ","$11,642,857 ",UFA,,,
"Zibanejad, Mika ""A""",6 UFA,NMC,C,NHL,Trade,31,9.7,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
"Kreider, Chris ""A""",3 UFA,"M-NTC, NMC",LW,NHL,Draft,33,7.4,"$6,500,000 ","$6,500,000 ","$6,500,000 ",UFA,,
"Trocheck, Vincent",5 UFA,NMC,"C, RW",NHL,Signed,30,6.4,"$5,625,000 ","$5,625,000 ","$5,625,000 ","$5,625,000 ","$5,625,000 ",UFA
"Chytil, Filip",3 UFA,,"C, LW",NHL,Draft,24,5,"$4,437,500 ","$4,437,500 ","$4,437,500 ",UFA,,
"Smith, Reilly",1 UFA,RSM-NTC,"LW, RW",NHL,Trade,33,4.3,"$3,750,000 ",UFA,,,,
"Kakko, Kaapo",1 RFA,,RW,NHL,Draft,23,2.7,"$2,400,000 ",RFA,,,,
"Lafreniere, Alexis",1 RFA,,"LW, RW",NHL,Draft,22,2.6,"$2,325,000 ",RFA,,,,
"Carrick, Sam",3 UFA,,"C, RW",NHL,Signed,32,1.1,"$1,000,000 ","$1,000,000 ","$1,000,000 ",UFA,,
"Edstrom, Adam",1 RFA,ELC,"C, LW",NHL,Draft,23,1,"$846,667 ",RFA,,,,
"Cuylle, Will",1 RFA,ELC,LW,NHL,Draft,22,0.9,"$828,333 ",RFA,,,,
"Rempe, Matt",1 RFA,ELC,"C, RW",NHL,Draft,22,0.9,"$820,000 ",RFA,,,,
"Vesey, Jimmy",1 UFA,,"RW, LW",NHL,Signed,31,0.9,"$800,000 ",UFA,,,,
"Brodzinski, Jonny",2 UFA,,C,NHL,Signed,31,0.9,"$787,500 ","$787,500 ",UFA,,,
TOTAL,,,,,,27.8,57.1,"$50,262,857 ","$38,492,857 ","$26,062,500 ","$14,125,000 ","$14,125,000 ","$8,500,000 "
