Forwards (13),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Berard, Brett",2 RFA,ELC,LW,Minor,Draft,21,-,"$867,500 ","$867,500 ",RFA,,,
"Chmelar, Jaroslav",3 RFA,ELC,RW,Minor,Draft,20,-,"$867,500 ","$867,500 ","$867,500 ",RFA,,
"Othmann, Brennan",2 RFA,ELC,LW,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Vaisanen, Kalle",3 RFA,ELC,LW,Minor,Draft,21,-,"$863,333 ","$863,333 ","$863,333 ",RFA,,
"Korczak, Ryder",1 RFA,ELC,C,Minor,Draft,21,-,"$859,167 ",RFA,,,,
"Roobroeck, Dylan",3 RFA,ELC,C,Minor,Draft,19,-,"$850,000 ","$850,000 ","$850,000 ",RFA,,
"McConnell-Barker, Bryce",3 RFA,ELC,C,Minor,Draft,20,-,"$838,333 ","$838,333 ","$838,333 ",RFA,,
"Sykora, Adam",3 RFA,ELC,"LW, RW",Minor,Draft,19,-,"$806,667 ","$806,667 ","$806,667 ",RFA,,
"Belzile, Alex",1 UFA,,"C, RW",Minor,Signed,32,-,"$775,000 ",UFA,,,,
"Blidh, Anton",1 UFA,,"LW, RW",Minor,Trade,29,-,"$775,000 ",UFA,,,,
"Nash, Riley",1 UFA,,"C, RW",Minor,Signed,35,-,"$775,000 ",UFA,,,,
"Groulx, Benoit-Olivier",1 RFA,,C,Minor,Signed,24,-,"$775,000 ",RFA,,,,
"Leschyshyn, Jake",1 RFA,,C,Minor,Waivers claim,25,-,"$766,667 ",RFA,,,,
"Henriksson, Karl",0 RFA,,C,Minor,Draft,23,-,RFA,,,,,
TOTAL,,,,,,23.6,-,"$10,682,500 ","$5,956,666 ","$4,225,833 ",,,
