"Forwards (13 - $48,938,333)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Couturier, Sean ""C""",6 UFA,NMC,C,NHL,Draft,31.0,8.8,"$7,750,000","$7,750,000","$7,750,000","$7,750,000","$7,750,000","$7,750,000"
"Tippett, Owen",8 UFA,,"RW, LW",NHL,Trade,25.0,7.0,"$6,200,000","$6,200,000","$6,200,000","$6,200,000","$6,200,000","$6,200,000"
"Atkinson, Cam",1 UFA,M-NTC,"RW, LW",NHL,Trade,35.0,6.7,"$5,875,000",UFA,,,,
"Konecny, Travis ""A""",1 UFA,,"RW, LW",NHL,Draft,27.0,6.3,"$5,500,000",UFA,,,,
"Farabee, Joel",4 UFA,,"LW, RW",NHL,Draft,24.0,5.7,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",UFA,
"Johansen, Ryan",1 UFA,RS,"C, RW",NHL,Trade,31.0,4.5,"$4,000,000",UFA,,,,
"Laughton, Scott ""A""",2 UFA,,"C, LW",NHL,Draft,30.0,3.4,"$3,000,000","$3,000,000",UFA,,,
"Cates, Noah",1 RFA,,"C, LW",NHL,Draft,25.0,3.0,"$2,625,000",RFA,,,,
"Hathaway, Garnet",1 UFA,,"RW, LW",NHL,Signed,32.0,2.7,"$2,375,000",UFA,,,,
"Frost, Morgan",1 RFA,,C,NHL,Draft,25.0,2.4,"$2,100,000",RFA,,,,
"Poehling, Ryan",2 UFA,,"C, LW",NHL,Signed,25.0,2.2,"$1,900,000","$1,900,000",UFA,,,
"Deslauriers, Nicolas",2 UFA,,"LW, RW",NHL,Signed,33.0,2.0,"$1,750,000","$1,750,000",UFA,,,
"Foerster, Tyson",1 RFA,ELC,RW,NHL,Draft,22.0,1.0,"$863,333",RFA,,,,
"Gurianov, Denis",0 UFA,,"RW, LW",NHL,Trade,27.0,,UFA,,,,,
TOTAL,,,,,,28.0,55.6,"$48,938,333","$25,600,000","$18,950,000","$18,950,000","$13,950,000","$13,950,000"
