,Defense (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"McDonald, Hunter",2 RFA,ELC,LD,Minor,Draft,22.0,-,"$950,000","$950,000",RFA,,,
1,"Bonk, Oliver",3 RFA,ELC,RD,Junior,Draft,19.0,-,"$918,333","$918,333","$918,333",RFA,,
2,"Andrae, Emil",2 RFA,ELC,LD,Minor,Draft,22.0,-,"$903,333","$903,333",RFA,,,
3,"Attard, Ronnie",1 RFA,,RD,Minor,Draft,25.0,-,"$850,000",RFA,,,,
4,"Grans, Helge",1 RFA,ELC,RD,Minor,Trade,22.0,-,"$847,500",RFA,,,,
5,"Samson, Ethan",2 RFA,ELC,RD,Minor,Draft,20.0,-,"$846,667","$846,667",RFA,,,
6,"Ginning, Adam",2 RFA,,LD,Minor,Draft,24.0,-,"$787,500","$787,500",RFA,,,
7,"Belpedio, Louis",1 UFA,,RD,Minor,Signed,28.0,-,"$775,000",UFA,,,,
8,"Millman, Mason",0 RFA,,LD,Minor,Draft,22.0,-,RFA,,,,,
9,"Zmolek, Will",0 RFA,,LD,Minor,Signed,25.0,-,RFA,,,,,
10,"Mete, Victor",0 UFA,,LD/RD,Minor,Signed,26.0,-,UFA,,,,,
11,TOTAL,,,,,,23.2,-,"$6,878,333","$4,405,833","$918,333",,,
