Forwards (12),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Eklind, Oscar",1 RFA,ELC,"LW, C",Loan,Signed,25,-,"$950,000 ",RFA,,,,
"Rizzo, Massimo",2 RFA,ELC,"C, LW",Minor,Trade,23,-,"$925,000 ","$925,000 ",RFA,,,
"Barkey, Denver",3 RFA,ELC,C,Junior,Draft,19,-,"$913,333 ","$913,333 ","$913,333 ",RFA,,
"Gendron, Alexis",2 RFA,ELC,RW,Junior,Draft,20,-,"$860,000 ","$860,000 ",RFA,,,
"Tuomaala, Samu",2 RFA,ELC,RW,Minor,Draft,21,-,"$830,833 ","$830,833 ",RFA,,,
"Desnoyers, Elliot",1 RFA,ELC,"C, LW",Minor,Draft,22,-,"$825,000 ",RFA,,,,
"Avon, Jon-Randall",2 RFA,ELC,C,Minor,Signed,20,-,"$800,000 ","$800,000 ",RFA,,,
"Wisdom, Zayde",1 RFA,ELC,C,Minor,Draft,22,-,"$797,500 ",RFA,,,,
"Lycksell, Olle",1 RFA,,RW,Minor,Draft,24,-,"$787,500 ",RFA,,,,
"Abols, Rodrigo",1 UFA,,C,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Gardner, Rhett",1 UFA,,"C, LW",Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Richard, Anthony",2 UFA,,"LW, RW",Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
"Brink, Bobby",0 RFA,,RW,Minor,Draft,22,-,RFA,,,,,
TOTAL,,,,,,23.2,-,"$10,014,166 ","$5,104,166 ","$913,333 ",,,
