"Forwards (12 - $41,046,429)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Crosby, Sidney ""C""",1 UFA,NMC,C,NHL,Draft,36,9.9,"$8,700,000 ",UFA,,,,
"Malkin, Evgeni ""A""",2 UFA,35+NMC,C,NHL,Draft,37,6.9,"$6,100,000 ","$6,100,000 ",UFA,,,
"Rust, Bryan",4 UFA,NMC,"RW, LW",NHL,Draft,32,5.8,"$5,125,000 ","$5,125,000 ","$5,125,000 ","$5,125,000 ",UFA,
"Rakell, Rickard",4 UFA,M-NTC,"RW, LW",NHL,Trade,31,5.7,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",UFA,
"Bunting, Michael",2 UFA,M-NTC,LW,NHL,Trade,28,5.1,"$4,500,000 ","$4,500,000 ",UFA,,,
"Hayes, Kevin",2 UFA,RSM-NTC,C,NHL,Trade,32,4.1,"$3,571,429 ","$3,571,429 ",UFA,,,
"Eller, Lars",1 UFA,,C,NHL,Signed,35,2.8,"$2,450,000 ",UFA,,,,
"Lizotte, Blake",2 UFA,,C,NHL,Signed,26,2.1,"$1,850,000 ","$1,850,000 ",UFA,,,
"Beauvillier, Anthony",1 UFA,,"RW, LW",NHL,Signed,27,1.4,"$1,250,000 ",UFA,,,,
"O'Connor, Drew",1 UFA,,LW,NHL,Signed,26,1.1,"$925,000 ",UFA,,,,
"Puljujarvi, Jesse",1 UFA,,RW,NHL,Signed,26,0.9,"$800,000 ",UFA,,,,
"Bemstrom, Emil",1 RFA,,"RW, LW",NHL,Signed,25,0.9,"$775,000 ",RFA,,,,
TOTAL,,,,,,30.1,46.6,"$41,046,429 ","$26,146,429 ","$10,125,000 ","$10,125,000 ",,
