,Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Pickering, Owen",3 RFA,ELC,LD,Minor,Draft,20.0,-,"$886,667","$886,667","$886,667",RFA,,
1,"Belliveau, Isaac",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$875,000","$875,000",RFA,,,
2,"Pieniniemi, Emil",3 RFA,ELC,LD,Minor,Draft,19.0,-,"$838,333","$838,333","$838,333",RFA,,
3,"Král, Filip",1 RFA,,LD,Minor,Signed,24.0,-,"$775,000",RFA,,,,
4,"St. Ivany, Jack",3 UFA,,RD,Minor,Signed,24.0,-,"$775,000","$775,000","$775,000",UFA,,
5,"Fedun, Taylor",0 UFA,,RD,Minor,Signed,36.0,-,UFA,,,,,
6,"Rathbone, Jack",0 UFA,,LD,Minor,Trade,25.0,-,UFA G6,,,,,
7,"Samorukov, Dmitri",0 UFA,,LD,Minor,Signed,25.0,-,UFA G6,,,,,
8,"Shea, Ryan",0 UFA,,LD,Minor,Signed,27.0,-,UFA,,,,,
9,TOTAL,,,,,,24.6,-,"$4,150,000","$3,375,000","$2,500,000",,,
