Forwards (13),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Broz, Tristan",3 RFA,ELC,C,Minor,Draft,21,-,"$925,000 ","$925,000 ","$925,000 ",RFA,,
"Frasca, Jordan",1 RFA,ELC,C,Minor,Signed,22,-,"$859,167 ",RFA,,,,
"MacArthur, Bennett",1 RFA,ELC,LW,Minor,Trade,23,-,"$859,167 ",RFA,,,,
"Ansons, Raivis",1 RFA,ELC,LW,Minor,Draft,22,-,"$844,167 ",RFA,,,,
"Koivunen, Ville",2 RFA,ELC,RW,Minor,Trade,21,-,"$805,833 ","$805,833 ",RFA,,,
"Ponomarev, Vasili",1 RFA,ELC,C,Minor,Trade,22,-,"$795,000 ",RFA,,,,
"Huntington, Jimmy",1 UFA,,C,Minor,Signed,25,-,"$775,000 ",UFA,,,,
"Johnstone, Marc",1 UFA,,RW,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Koppanen, Joona",1 UFA,,"LW, C",Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Gruden, Jonathan",2 RFA,,LW,Minor,Trade,24,-,"$775,000 ","$775,000 ",RFA,,,
"Poulin, Samuel",2 RFA,,"C, LW",Minor,Draft,23,-,"$775,000 ","$775,000 ",RFA,,,
"Imama, Bokondji",1 UFA,,LW,Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Puustinen, Valtteri",2 UFA,,"RW, LW",Minor,Draft,25,-,"$775,000 ","$775,000 ",UFA,,,
"Andonovski, Corey",0 RFA,,RW,Minor,Signed,25,-,RFA,,,,,
TOTAL,,,,,,23.9,-,"$10,513,334 ","$4,055,833 ","$925,000 ",,,
