Forwards (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Myatovic, Nico",3 RFA,ELC,LW,Minor,Draft,19,-,"$896,667 ","$896,667 ","$896,667 ",RFA,,
"Gaucher, Nathan",3 RFA,ELC,C,Minor,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Lopina, Joshua",1 RFA,ELC,C,Minor,Draft,23,-,"$878,333 ",RFA,,,,
"Sidorov, Yegor",3 RFA,ELC,"RW, LW",Minor,Draft,20,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Pitre, Coulson",3 RFA,ELC,RW,Minor,Draft,19,-,"$860,000 ","$860,000 ","$860,000 ",RFA,,
"Wiebe, Jaxsen",2 RFA,ELC,"RW, C",Minor,Signed,22,-,"$852,500 ","$852,500 ",RFA,,,
"Caulfield, Judd",1 RFA,ELC,RW,Minor,Trade,23,-,"$837,500 ",RFA,,,,
"Mysak, Jan",1 RFA,ELC,"C, LW",Minor,Trade,22,-,"$828,333 ",RFA,,,,
"Pastujov, Sasha",2 RFA,ELC,"LW, RW",Minor,Draft,20,-,"$825,000 ","$825,000 ",RFA,,,
"McLaughlin, Blake",0 RFA,,LW,Minor,Draft,24,-,RFA,,,,,
"Nesterenko, Nikita",0 RFA,,C,Minor,Trade,22,-,RFA,,,,,
"Regenda, Pavol",0 RFA,,"LW, RW",Minor,Signed,24,-,RFA,,,,,
"Tracey, Brayden",0 RFA,,LW,Minor,Draft,23,-,RFA,,,,,
"Agozzino, Andrew",0 UFA,,"C, LW",Minor,Trade,33,-,UFA,,,,,
"De Leo, Chase",0 UFA,,"C, LW, RW",Minor,Signed,28,-,UFA,,,,,
"Gawdin, Glenn",0 UFA,,"C, RW",Minor,Signed,27,-,UFA,,,,,
TOTAL,,,,,,23.1,-,"$7,730,000 ","$5,185,834 ","$3,508,334 ",,,
