,"Defense (6 - $14,662,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Weegar, MacKenzie",7 UFA,NTC,LD/RD,NHL,Trade,30.0,7.1,"$6,250,000","$6,250,000","$6,250,000","$6,250,000","$6,250,000","$6,250,000"
1,"Andersson, Rasmus",2 UFA,M-NTC,RD,NHL,Draft,27.0,5.2,"$4,550,000","$4,550,000",UFA,,,
2,"Miromanov, Daniil",2 UFA,,RD,NHL,Trade,26.0,1.4,"$1,250,000","$1,250,000",UFA,,,
3,"Bahl, Kevin",1 RFA,,LD,NHL,Trade,23.0,1.2,"$1,050,000",RFA,,,,
4,"Hanley, Joel",1 UFA,,LD/RD,NHL,Waivers claim,33.0,0.9,"$787,500",UFA,,,,
5,"Pachal, Brayden",1 RFA,,RD,NHL,Waivers claim,24.0,0.9,"$775,000",RFA,,,,
6,"Okhotiuk, Nikita",0 RFA,,LD,NHL,Trade,23.0,,RFA,,,,,
7,"Gilbert, Dennis",0 UFA,,LD,NHL,Signed,27.0,,UFA,,,,,
8,"Kylington, Oliver",0 UFA,,LD/RD,NHL,Draft,27.0,,UFA,,,,,
9,TOTAL,,,,,,26.7,16.7,"$14,662,500","$12,050,000","$6,250,000","$6,250,000","$6,250,000","$6,250,000"
