"Forwards (13 - $45,763,333)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Huberdeau, Jonathan",7 UFA,NMC,"LW, RW",NHL,Trade,31,11.9,"$10,500,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 "
"Kadri, Nazem",5 UFA,NMC,C,NHL,Signed,33,8,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",UFA
"Kuzmenko, Andrei",1 UFA,M-NTC,"LW, RW",NHL,Trade,28,6.3,"$5,500,000 ",UFA,,,,
"Coleman, Blake",3 UFA,M-NTC,"RW, LW",NHL,Signed,32,5.6,"$4,900,000 ","$4,900,000 ","$4,900,000 ",UFA,,
"Backlund, Mikael ""C""",2 UFA,35+NMC,C,NHL,Draft,35,5.1,"$4,500,000 ","$4,500,000 ",UFA,,,
"Mantha, Anthony",1 UFA,,"LW, RW",NHL,Signed,29,4,"$3,500,000 ",UFA,,,,
"Sharangovich, Yegor",6 UFA,,"C, LW, RW",NHL,Trade,26,3.5,"$3,100,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 "
"Lomberg, Ryan",2 UFA,,"LW, RW",NHL,Signed,29,2.3,"$2,000,000 ","$2,000,000 ",UFA,,,
"Rooney, Kevin",1 UFA,,C,NHL,Signed,31,1.5,"$1,300,000 ",UFA,,,,
"Pospisil, Martin",2 RFA,,RW,NHL,Draft,24,1.1,"$1,000,000 ","$1,000,000 ",RFA,,,
"Zary, Connor",1 RFA,ELC,"LW, C",NHL,Draft,22,1,"$863,333 ",RFA,,,,
"Duehr, Walker",1 UFA,,RW,NHL,Signed,26,0.9,"$825,000 ",UFA,,,,
"Hunt, Dryden",1 UFA,,"LW, RW",NHL,Signed,28,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,28.8,52,"$45,763,333 ","$35,650,000 ","$28,150,000 ","$23,250,000 ","$23,250,000 ","$16,250,000 "
