,Defense (4),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Brzustewicz, Hunter",3 RFA,ELC,RD,Junior,Trade,19.0,-,"$950,000","$950,000","$950,000",RFA,,
1,"Jurmo, Joni",2 RFA,ELC,LD,Minor,Trade,22.0,-,"$850,000","$850,000",RFA,,,
2,"Poirier, Jérémie",1 RFA,ELC,LD,Minor,Draft,22.0,-,"$823,333",RFA,,,,
3,"Grushnikov, Artem",2 RFA,ELC,LD,Minor,Trade,21.0,-,"$814,167","$814,167",RFA,,,
4,"Kuznetsov, Yan",0 RFA,,LD,Minor,Draft,22.0,-,RFA,,,,,
5,"Solovyov, Ilya",0 RFA,,LD,Minor,Draft,23.0,-,RFA,,,,,
6,"Oesterle, Jordan",0 UFA,,LD/RD,Minor,Signed,32.0,-,UFA,,,,,
7,"Poolman, Colton",0 UFA,,LD,Minor,Signed,28.0,-,UFA,,,,,
8,"Pysyk, Mark",0 UFA,,RD,Minor,Signed,32.0,-,UFA,,,,,
9,TOTAL,,,,,,24.6,-,"$3,437,500","$2,614,167","$950,000",,,
