Forwards (10),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Coronato, Matthew",1 10.2(c),ELC,RW,Minor,Draft,21,-,"$925,000 ",10.2(c),,,,
"Honzek, Samuel",3 RFA,ELC,LW,Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Stromgren, William",2 RFA,ELC,LW,Minor,Draft,21,-,"$900,833 ","$900,833 ",RFA,,,
"Morton, Sam",1 RFA,,LW,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Bell, Parker",2 RFA,ELC,LW,Minor,Draft,20,-,"$857,500 ","$857,500 ",RFA,,,
"Kerins, Rory",1 RFA,ELC,C,Minor,Draft,22,-,"$846,667 ",RFA,,,,
"Nikolayev, Ilya",1 RFA,ELC,C,Minor,Draft,23,-,"$836,667 ",RFA,,,,
"Ciona, Lucas",2 RFA,ELC,LW,Minor,Draft,21,-,"$830,000 ","$830,000 ",RFA,,,
"Bishop, Clark",1 UFA,,"C, LW",Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Frk, Martin",1 UFA,,RW,Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Klapka, Adam",0 RFA,,"RW, C",Minor,Signed,23,-,RFA,,,,,
"Pelletier, Jakob",0 RFA,,LW,Minor,Draft,23,-,RFA,,,,,
"Schwindt, Cole",0 RFA,,"RW, C",Minor,Trade,23,-,RFA,,,,,
TOTAL,,,,,,22.9,-,"$8,535,000 ","$3,506,666 ","$918,333 ",,,
