"Forwards (7 - $39,750,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"McDavid, Connor ""C""",2 UFA,NMC,C,NHL,Draft,27.0,14.2,"$12,500,000","$12,500,000",UFA,,,
"Draisaitl, Leon ""A""",1 UFA,"M-NTC, NMC","C, LW",NHL,Draft,28.0,9.7,"$8,500,000",UFA,,,,
"Hyman, Zach",4 UFA,NMC,"RW, LW",NHL,Signed,32.0,6.3,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",UFA,
"Kane, Evander",2 UFA,NMC,"LW, RW",NHL,Signed,32.0,5.8,"$5,125,000","$5,125,000",UFA,,,
"Nugent-Hopkins, Ryan ""A""",5 UFA,NMC,"LW, C",NHL,Draft,31.0,5.8,"$5,125,000","$5,125,000","$5,125,000","$5,125,000","$5,125,000",UFA
"McLeod, Ryan",1 RFA,,C,NHL,Draft,24.0,2.4,"$2,100,000",RFA,,,,
"Ryan, Derek",1 UFA,35+,"C, RW",NHL,Signed,37.0,1.0,"$900,000",UFA,,,,
"Holloway, Dylan",0 RFA,,"LW, C",NHL,Draft,22.0,,RFA,,,,,
"Brown, Connor",0 UFA,,"RW, LW",NHL,Signed,30.0,,UFA,,,,,
"Carrick, Sam",0 UFA,,"C, RW",NHL,Trade,32.0,,UFA,,,,,
"Foegele, Warren",0 UFA,,"LW, RW",NHL,Trade,28.0,,UFA,,,,,
"Gagner, Sam",0 UFA,,"RW, C",NHL,Signed,34.0,,UFA,,,,,
"Henrique, Adam",0 UFA,,"LW, C",NHL,Trade,34.0,,UFA,,,,,
"Janmark, Mattias",0 UFA,,"LW, RW",NHL,Signed,31.0,,UFA,,,,,
"Perry, Corey",0 UFA,,RW,NHL,Signed,39.0,,UFA,,,,,
TOTAL,,,,,,30.7,45.2,"$39,750,000","$28,250,000","$10,625,000","$10,625,000","$5,125,000",
