Forwards (12),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Berglund, Carl",1 RFA,ELC,"C, RW",Minor,Signed,24,-,"$950,000 ",RFA,,,,
"Bourgault, Xavier",1 RFA,ELC,RW,Minor,Draft,21,-,"$925,000 ",RFA,,,,
"Stefan, James",3 RFA,ELC,RW,Minor,Signed,20,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Grubbe, Jayden",2 RFA,ELC,C,Minor,Signed,21,-,"$867,500 ","$867,500 ",RFA,,,
"Chiasson, Jake",2 RFA,ELC,C,Minor,Draft,21,-,"$843,333 ","$843,333 ",RFA,,,
"Tullio, Tyler",1 RFA,ELC,RW,Minor,Draft,22,-,"$823,333 ",RFA,,,,
"Stonehouse, Brady",3 RFA,ELC,RW,Junior,Signed,19,-,"$821,667 ","$821,667 ","$821,667 ",RFA,,
"Petrov, Matvei",2 RFA,ELC,LW,Minor,Draft,21,-,"$803,333 ","$803,333 ",RFA,,,
"Caggiula, Drake",1 UFA,,"LW, RW",Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Pederson, Lane",1 UFA,,C,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Philp, Noah",1 RFA,,C,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Hamblin, James",2 UFA,,"RW, C",Minor,Signed,25,-,"$775,000 ","$775,000 ",UFA,,,
"Lavoie, Raphael",0 RFA,,"RW, C",Minor,Draft,23,-,RFA,,,,,
TOTAL,,,,,,22.9,-,"$10,004,166 ","$4,980,833 ","$1,691,667 ",,,
