Forwards (15),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Jamsen, Aatu",2 RFA,ELC,RW,Minor,Draft,21,-,"$852,500 ","$852,500 ",RFA,,,
"Lawrence, Kaleb",3 RFA,ELC,RW,Minor,Draft,21,-,"$852,500 ","$852,500 ","$852,500 ",RFA,,
"Ziemmer, Koehn",3 RFA,ELC,RW,Junior,Draft,19,-,"$845,833 ","$845,833 ","$845,833 ",RFA,,
"Pinelli, Francesco",2 RFA,ELC,C,Minor,Draft,21,-,"$845,000 ","$845,000 ",RFA,,,
"Chromiak, Martin",1 RFA,ELC,RW,Minor,Draft,21,-,"$820,000 ",RFA,,,,
"Helenius, Samuel",2 RFA,ELC,C,Minor,Draft,21,-,"$805,833 ","$805,833 ",RFA,,,
"Fagemo, Samuel",1 RFA,,"LW, RW",Minor,Waivers claim,24,-,"$775,000 ",RFA,,,,
"Lee, Andre",1 RFA,,"LW, C",Minor,Draft,23,-,"$775,000 ",RFA,,,,
"Thomas, Akil",2 RFA,,C,Minor,Draft,24,-,"$775,000 ","$775,000 ",RFA,,,
"Turcotte, Alex",3 RFA,,C,Minor,Draft,23,-,"$775,000 ","$775,000 ","$775,000 ",RFA,,
"Ward, Taylor",1 UFA,,RW,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Gawdin, Glenn",2 UFA,,"C, RW",Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
"Madden, Tyler",1 RFA,,C,Minor,Signed,24,-,"$775,000 ",RFA,,,,
"Malott, Jeff",2 UFA,,LW,Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
"Studnicka, Jack",1 UFA,,"RW, C",Minor,Signed,25,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,23.1,-,"$11,996,666 ","$7,301,666 ","$2,473,333 ",,,
