"Forwards (13 - $32,171,667)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Toffoli, Tyler",4 UFA,NMC,"RW, LW",NHL,Signed,32,6.8,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",UFA,
"Granlund, Mikael",1 UFA,,"C, RW",NHL,Trade,32,5.7,"$5,000,000 ",UFA,,,,
"Wennberg, Alexander",2 UFA,NTC,C,NHL,Signed,29,5.7,"$5,000,000 ","$5,000,000 ",UFA,,,
"Goodrow, Barclay ""A""",3 UFA,M-NTC,"C, LW",NHL,Waivers claim,31,4.1,"$3,641,667 ","$3,641,667 ","$3,641,667 ",UFA,,
"Kunin, Luke",1 UFA,,"RW, C",NHL,Trade,26,3.1,"$2,750,000 ",UFA,,,,
"Kostin, Klim",1 RFA,,"LW, RW",NHL,Trade,25,2.3,"$2,000,000 ",RFA,,,,
"Sturm, Nico",1 UFA,,C,NHL,Signed,29,2.3,"$2,000,000 ",UFA,,,,
"Zetterlund, Fabian",1 RFA,,RW,NHL,Trade,24,1.6,"$1,450,000 ",RFA,,,,
"Smith, Will",3 RFA,ELC,C,NHL,Draft,19,1.1,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Graf, Collin",2 10.2(c),ELC,"RW, C",NHL,Signed,21,1.1,"$941,667 ","$941,667 ",10.2(c),,,
"Eklund, William",2 RFA,ELC,LW,NHL,Draft,21,1,"$863,333 ","$863,333 ",RFA,,,
"Smith, Givani",1 UFA,,"LW, RW",NHL,Signed,26,0.9,"$800,000 ",UFA,,,,
"Bailey, Justin",1 UFA,,RW,NHL,Signed,29,0.9,"$775,000 ",UFA,,,,
"Bordeleau, Thomas",0 10.2(c),,"C, LW",NHL,Draft,22,,10.2(c),,,,,
"Dellandrea, Ty",0 RFA,,RW,NHL,Trade,23,,RFA,,,,,
"Grundstrom, Carl",0 RFA,,"LW, RW",NHL,Trade,26,,RFA,,,,,
TOTAL,,,,,,25.9,36.6,"$32,171,667 ","$17,396,667 ","$10,591,667 ","$6,000,000 ",,
