Defense (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Pulli, Valtteri",1 RFA,ELC,LD,Minor,Signed,23,-,"$950,000 ",RFA,,,,
"Cagnoni, Luca",3 RFA,ELC,LD,Minor,Draft,19,-,"$895,000 ","$895,000 ","$895,000 ",RFA,,
"Mukhamadullin, Shakir",1 RFA,ELC,LD,Minor,Trade,22,-,"$894,167 ",RFA,,,,
"Guryev, Artem",2 RFA,ELC,LD,Minor,Draft,21,-,"$860,000 ","$860,000 ",RFA,,,
"Furlong, Jake",3 RFA,ELC,LD,Junior,Draft,20,-,"$841,667 ","$841,667 ","$841,667 ",RFA,,
"Laroque, Gannon",2 RFA,ELC,RD,Minor,Draft,20,-,"$836,667 ","$836,667 ",RFA,,,
"Thompson, Jack",1 RFA,ELC,RD,Minor,Trade,22,-,"$828,333 ",RFA,,,,
"Carlsson, Lucas",2 UFA,,LD,Minor,Signed,26,-,"$800,000 ","$800,000 ",UFA,,,
"Schuldt, Jimmy",1 UFA,,LD,Minor,Signed,29,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.4,-,"$7,680,834 ","$4,233,334 ","$1,736,667 ",,,
