"Forwards (8 - $35,675,833)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Burakovsky, André",3 UFA,M-NTC,"RW, LW",NHL,Signed,29.0,6.3,"$5,500,000","$5,500,000","$5,500,000",UFA,,
"Schwartz, Jaden ""A""",2 UFA,M-NTC,LW,NHL,Signed,32.0,6.3,"$5,500,000","$5,500,000",UFA,,,
"Bjorkstrand, Oliver",2 UFA,M-NTC,"RW, LW",NHL,Trade,29.0,6.1,"$5,400,000","$5,400,000",UFA,,,
"Gourde, Yanni ""A""",1 UFA,M-NTC,"C, LW, RW",NHL,Expansion,32.0,5.9,"$5,166,666",UFA,,,,
"McCann, Jared",3 UFA,M-NTC,"C, LW",NHL,Expansion,28.0,5.7,"$5,000,000","$5,000,000","$5,000,000",UFA,,
"Eberle, Jordan ""A""",2 UFA,NTC,RW,NHL,Expansion,34.0,5.4,"$4,750,000","$4,750,000",UFA,,,
"Tanev, Brandon",1 UFA,M-NTC,"LW, RW",NHL,Expansion,32.0,4.0,"$3,500,000",UFA,,,,
"Kartye, Tye",1 RFA,ELC,"LW, C",NHL,Signed,23.0,1.0,"$859,167",RFA,,,,
"Beniers, Matthew",0 RFA,,C,NHL,Draft,21.0,,RFA,,,,,
"Tolvanen, Eeli",0 RFA,,"LW, RW",NHL,Waivers claim,25.0,,RFA,,,,,
"Yamamoto, Kailer",0 RFA,,RW,NHL,Signed,25.0,,RFA,,,,,
"Bellemare, Pierre-Édouard",0 UFA,,"C, LW",NHL,Signed,39.0,,UFA,,,,,
"Tatar, Tomas",0 UFA,,"LW, RW",NHL,Trade,33.0,,UFA,,,,,
TOTAL,,,,,,29.4,40.5,"$35,675,833","$26,150,000","$10,500,000",,,
