Defense (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Dragicevic, Lukas",3 RFA,ELC,RD,Minor,Draft,19,-,"$923,333 ","$923,333 ","$923,333 ",RFA,,
"Evans, Ryker",1 RFA,ELC,LD,Minor,Draft,22,-,"$897,500 ",RFA,,,,
"Ottavainen, Ville",2 RFA,ELC,RD,Minor,Draft,21,-,"$867,500 ","$867,500 ",RFA,,,
"Price, Caden",3 RFA,ELC,LD,Minor,Draft,18,-,"$865,833 ","$865,833 ","$865,833 ",RFA,,
"Nelson, Ty",3 RFA,ELC,RD,Minor,Draft,20,-,"$836,667 ","$836,667 ","$836,667 ",RFA,,
"Fleury, Cale",1 RFA,,RD,Minor,Expansion,25,-,"$800,000 ",RFA,,,,
"Olofsson, Gustav",1 UFA,,LD,Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Brouillard, Nikolas",1 UFA,,D,Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Lajoie, Maxime",1 UFA,,LD,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Seppala, Peetro",0 RFA,,LD,Minor,Signed,23,-,RFA,,,,,
TOTAL,,,,,,23.2,-,"$7,515,833 ","$3,493,333 ","$2,625,833 ",,,
