Forwards (17),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Fisker Molgaard, Oscar",3 RFA,ELC,C,Minor,Draft,19,-,"$923,333 ","$923,333 ","$923,333 ",RFA,,
"Rehkopf, Carson",3 RFA,ELC,LW,Minor,Draft,19,-,"$923,333 ","$923,333 ","$923,333 ",RFA,,
"Sale, Eduard",3 RFA,ELC,"LW, RW",Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Firkus, Jagger",3 RFA,ELC,RW,Junior,Draft,20,-,"$891,667 ","$891,667 ","$891,667 ",RFA,,
"Goyette, David",3 RFA,ELC,C,Minor,Draft,20,-,"$891,667 ","$891,667 ","$891,667 ",RFA,,
"Nyman, Jani",3 RFA,ELC,"LW, RW",Minor,Draft,19,-,"$891,667 ","$891,667 ","$891,667 ",RFA,,
"Wright, Shane",3 RFA,ELC,C,Minor,Draft,20,-,"$886,667 ","$886,667 ","$886,667 ",RFA,,
"Morrison, Logan",2 RFA,ELC,C,Minor,Signed,21,-,"$870,000 ","$870,000 ",RFA,,,
"Robertson, Tucker",2 RFA,ELC,C,Minor,Draft,21,-,"$870,000 ","$870,000 ",RFA,,,
"Roed, Lleyton",2 RFA,ELC,LW,Minor,Signed,21,-,"$870,000 ","$870,000 ",RFA,,,
"Winterton, Ryan",2 RFA,ELC,C,Minor,Draft,20,-,"$828,333 ","$828,333 ",RFA,,,
"Melanson, Jacob",2 RFA,ELC,RW,Minor,Draft,21,-,"$826,111 ","$826,111 ",RFA,,,
"Henman, Luke",1 RFA,,C,Minor,Signed,24,-,"$775,000 ",RFA,,,,
"Biro, Brandon",1 UFA,,LW,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Hayden, John",1 UFA,,"C, LW, RW",Minor,Signed,29,-,"$775,000 ",UFA,,,,
"McCormick, Max",2 UFA,,LW,Minor,Signed,32,-,"$775,000 ","$775,000 ",UFA,,,
"Stephens, Mitchell",2 UFA,,C,Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
TOTAL,,,,,,22.2,-,"$14,466,111 ","$12,141,111 ","$6,326,667 ",,,
